date,signal,price,stop_loss,ticker
2018-01-03 16:00:00,Long,14919.51,14400.04,BTC/USD
2018-01-07 06:00:00,Short,6.002e-05,6.196999999999999e-05,ADA/BTC
2018-01-12 14:00:00,Short,13700.81,14109.78,BTC/USD
2018-01-15 00:00:00,Short,0.00013266,0.00013789,XRP/BTC
2018-01-20 14:00:00,Short,5.503e-05,5.700000000000001e-05,ADA/BTC
2018-01-20 18:00:00,Short,5.47e-05,5.6000000000000006e-05,ADA/BTC
2018-01-21 15:00:00,Short,0.00011827,0.0001225,XRP/BTC
2018-01-21 22:00:00,Short,0.00011840000000000002,0.00012176,XRP/BTC
2018-01-22 07:00:00,Short,5.2189999999999987e-05,5.379999999999999e-05,ADA/BTC
2018-01-23 04:00:00,Short,5.1980000000000014e-05,5.3069999999999985e-05,ADA/BTC
2018-01-23 18:00:00,Short,5.154e-05,5.250000000000001e-05,ADA/BTC
2018-01-24 03:00:00,Short,0.00119181,0.00121435,EOS/BTC
2018-01-26 11:00:00,Short,11033.0,11399.0,BTC/USD
2018-01-27 02:00:00,Long,0.09558432346160667,0.09279441987918044,ETH/BTC
2018-01-28 06:00:00,Short,0.00010667,0.0001085,XRP/BTC
2018-01-28 13:00:00,Short,5.348999999999999e-05,5.4259999999999985e-05,ADA/BTC
2018-01-28 19:00:00,Short,5.339e-05,5.4259999999999985e-05,ADA/BTC
2018-01-29 18:00:00,Short,5.192e-05,5.3289999999999986e-05,ADA/BTC
2018-01-30 02:00:00,Short,1172.98,1185.8,ETH/USD
2018-01-30 14:00:00,Short,0.00011071,0.00011493999999999998,XRP/BTC
2018-01-31 07:00:00,Short,0.00010978000000000002,0.00011140000000000002,XRP/BTC
2018-01-31 08:00:00,Short,0.0011300000000000001,0.001165,EOS/BTC
2018-01-31 13:00:00,Short,0.00010925,0.00011199999999999997,XRP/BTC
2018-02-01 00:00:00,Short,10063.75,10335.0,BTC/USD
2018-02-01 00:00:00,Short,0.00010909,0.0001113,XRP/BTC
2018-02-03 23:00:00,Long,9270.08,8901.01,BTC/USD
2018-02-06 18:00:00,Short,9.75e-05,9.991e-05,XRP/BTC
2018-02-11 17:00:00,Short,4.328e-05,4.4e-05,ADA/BTC
2018-02-12 02:00:00,Short,0.00102701,0.0010455999999999998,EOS/BTC
2018-02-12 15:00:00,Short,0.018134942328588685,0.01874766348650059,LTC/BTC
2018-02-12 15:00:00,Short,0.018134942328588685,0.01874766348650059,LTC/BTC
2018-02-13 14:00:00,Short,841.55,853.0,ETH/USD
2018-02-13 14:00:00,Short,8579.53,8680.0,BTC/USD
2018-02-13 23:00:00,Short,4.101000000000001e-05,4.244e-05,ADA/BTC
2018-02-14 03:00:00,Short,0.00011464,0.00011846,XRP/BTC
2018-02-14 11:00:00,Long,0.001045,0.001004,EOS/BTC
2018-02-14 14:00:00,Short,0.0974815577322929,0.09906817014375358,ETH/BTC
2018-02-14 14:00:00,Short,4.09e-05,4.13e-05,ADA/BTC
2018-02-14 21:00:00,Short,0.00101893,0.0010539999999999998,EOS/BTC
2018-02-15 18:00:00,Long,943.0,915.2,ETH/USD
2018-02-16 08:00:00,Long,931.99,901.36,ETH/USD
2018-02-16 15:00:00,Short,0.00096398,0.0009765,EOS/BTC
2018-02-16 16:00:00,Short,0.0923889613955933,0.09460726965686324,ETH/BTC
2018-02-16 16:00:00,Short,0.00010927,0.00011164,XRP/BTC
2018-02-16 19:00:00,Short,3.82e-05,3.915e-05,ADA/BTC
2018-02-18 13:00:00,Short,934.5,948.79,ETH/USD
2018-02-18 15:00:00,Short,917.49,948.79,ETH/USD
2018-02-19 02:00:00,Short,0.08665579131026696,0.08877110168047764,ETH/BTC
2018-02-19 18:00:00,Long,951.59,932.12,ETH/USD
2018-02-20 14:00:00,Long,0.02083141271873666,0.02046868411080974,LTC/BTC
2018-02-21 09:00:00,Short,0.00077958,0.000805,EOS/BTC
2018-02-21 16:00:00,Short,0.00079015,0.000805,EOS/BTC
2018-02-21 21:00:00,Short,0.07983768656716418,0.08123227561891623,ETH/BTC
2018-02-21 22:00:00,Short,3.149e-05,3.262e-05,ADA/BTC
2018-02-22 01:00:00,Short,0.0007846999999999999,0.00080076,EOS/BTC
2018-02-22 20:00:00,Short,3.123e-05,3.184e-05,ADA/BTC
2018-02-22 23:00:00,Short,3.136e-05,3.184e-05,ADA/BTC
2018-02-23 03:00:00,Short,3.138e-05,3.184e-05,ADA/BTC
2018-02-24 06:00:00,Long,9.265e-05,9.084e-05,XRP/BTC
2018-02-24 15:00:00,Short,3.102e-05,3.127e-05,ADA/BTC
2018-02-24 16:00:00,Short,3.101e-05,3.127e-05,ADA/BTC
2018-02-24 19:00:00,Short,829.42,836.57,ETH/USD
2018-02-25 07:00:00,Short,819.99,849.5,ETH/USD
2018-02-25 16:00:00,Short,9590.0,9700.0,BTC/USD
2018-02-27 15:00:00,Long,879.99,864.21,ETH/USD
2018-02-27 17:00:00,Short,3.082e-05,3.142e-05,ADA/BTC
2018-02-27 17:00:00,Long,0.0007978400000000001,0.00078379,EOS/BTC
2018-02-27 18:00:00,Long,0.0008023799999999999,0.0007899999999999999,EOS/BTC
2018-02-27 19:00:00,Short,3.042e-05,3.142e-05,ADA/BTC
2018-02-27 21:00:00,Long,885.19,868.16,ETH/USD
2018-02-28 07:00:00,Long,0.0008045,0.00079352,EOS/BTC
2018-02-28 08:00:00,Long,0.0008098999999999999,0.0007985699999999999,EOS/BTC
2018-02-28 12:00:00,Short,8.596999999999999e-05,8.699e-05,XRP/BTC
2018-02-28 13:00:00,Short,8.542999999999999e-05,8.699e-05,XRP/BTC
2018-03-01 00:00:00,Short,0.08209052138856211,0.08343141999806407,ETH/BTC
2018-03-01 01:00:00,Short,0.08164558447349278,0.08343141999806407,ETH/BTC
2018-03-01 13:00:00,Short,2.7899999999999997e-05,2.835e-05,ADA/BTC
2018-03-01 14:00:00,Short,0.01941381205348965,0.019957835819855444,LTC/BTC
2018-03-01 23:00:00,Long,871.48,864.87,ETH/USD
