date,signal,coin,price
2019-06-13 19:00:00,BUY,ETH/USDT,262.47
2019-06-13 19:00:00,BUY,BTC/USDT,8650.0
2019-06-14 19:00:00,BUY,BCH/USDT,421.1
2019-06-15 19:00:00,BUY,XRP/USDT,0.42703
2019-06-16 19:00:00,BUY,EOS/USDT,7.1247
2019-07-07 19:00:00,BUY,ETH/USDT,311.97
2019-07-30 19:00:00,SELL,ETH/BTC,0.021666
2019-08-01 19:00:00,SELL,XRP/BTC,2.991e-05
2019-08-01 19:00:00,SELL,EOS/BTC,0.0004096
2019-08-05 19:00:00,SELL,XRP/USDT,0.3116
2019-08-05 19:00:00,SELL,LTC/USDT,92.99
2019-08-05 19:00:00,SELL,LTC/BTC,0.0081
