date,signal,stop_loss,price,ticker,tp,index_closed,hrs_open,net_profit
2019-08-03 11:00:00,Short,0.00884399,0.0087944,LTCU19,4,,5.0,0.013815098244336932
2019-08-03 11:00:00,Short,0.02068875,0.020527,ETHU19,1,,12.0,0.0003939932771471689
2019-08-03 11:00:00,Long,0.00039541,0.0003988,EOSU19,0,,4.0,-0.008500501504513489
2019-08-03 12:00:00,Short,2.937e-05,2.92e-05,XRPU19,1,,3.0,0.0002910958904109532
2019-08-03 15:00:00,Long,219.28589,222.22345929,ETHUSD,1,,6.0,0.0006609494108735147
2019-08-03 20:00:00,Long,219.28589,222.5,ETHUSD,0,,2.0,-0.014445438202247213
2019-08-04 10:00:00,Short,0.02052823,0.020185,ETHU19,2,,20.0,0.002550631657171166
2019-08-04 10:00:00,Short,0.00039806,0.00038786,EOSU19,4,,52.0,0.06443046460062894
2019-08-04 10:00:00,Long,218.01208,221.16,ETHUSD,4,,11.0,0.034872508591065284
2019-08-04 10:00:00,Short,0.03131776,0.03073,BCHU19,4,,39.0,0.04686013667425966
2019-08-04 10:00:00,Long,10545.542,10980.0,BTCUSD,4,,40.0,0.096941903460838
2019-08-05 14:00:00,Short,0.00906034,0.0083067,LTCU19,4,,735.0,0.22228056869755738
2019-08-05 17:00:00,Short,0.0299778,0.02969,BCHU19,4,,8.0,0.02374907376220932
2019-08-05 19:00:00,Short,0.01982734,0.019602,ETHU19,1,,2.0,0.0005747882869094926
2019-08-05 20:00:00,Short,0.00038558,0.00037536,EOSU19,4,,70.0,0.06670662830349545
2019-08-06 00:00:00,Short,0.0003834,0.00037471,EOSU19,4,,14.0,0.05681860638894078
2019-08-06 00:00:00,Long,11597.688999999995,11831.0,BTCUSD,3,,5.0,0.006902108866537215
2019-08-06 02:00:00,Long,228.23265,233.58,ETHUSD,2,,3.0,0.0034339519650655056
2019-08-06 15:00:00,Short,0.019608,0.019412,ETHU19,0,,1.0,-0.010096847310941775
2019-08-06 21:00:00,Short,0.02942745,0.028918,BCHU19,4,,55.0,0.04316178504737548
2019-08-06 21:00:00,Short,0.00036759,0.000362,EOSU19,1,,7.0,0.0007720994475138092
2019-08-06 21:00:00,Short,0.00815008,0.008005700000000001,LTCU19,4,,14.0,0.04418489326354957
2019-08-06 23:00:00,Short,2.742e-05,2.677e-05,XRPU19,4,,60.0,0.05948823309674999
2019-08-06 23:00:00,Short,0.01988516,0.01948,ETHU19,4,,48.0,0.05095698151950696
2019-08-07 03:00:00,Short,2.742e-05,2.685e-05,XRPU19,4,,53.0,0.052011173184357516
2019-08-07 07:00:00,Short,0.02920313,0.028962,BCHU19,4,,2.0,0.020398056073475515
2019-08-07 11:00:00,Short,230.74568,223.59,ETHUSD,4,,67.0,0.07840876604499296
2019-08-08 01:00:00,Short,227.1166,225.18,ETHUSD,1,,6.0,0.0004300115463185005
2019-08-08 07:00:00,Short,226.8175,225.25,ETHUSD,4,,4.0,0.017049389567147567
2019-08-08 11:00:00,Short,0.01903971,0.018827,ETHU19,4,,13.0,0.027680432357784213
2019-08-08 17:00:00,Short,0.00035664,0.00035192,EOSU19,4,,11.0,0.0328597408501932
2019-08-08 17:00:00,Short,2.641e-05,2.588e-05,XRPU19,3,,37.0,0.007167697063369396
2019-08-08 18:00:00,Long,11584.65,12050.0,BTCUSD,0,,36.0,-0.03861825726141082
2019-08-08 18:00:00,Short,0.00781788,0.007501000000000002,LTCU19,2,,42.0,0.006336755099320043
2019-08-08 18:00:00,Short,0.02830483,0.027797,BCHU19,4,,16.0,0.04475963233442465
2019-08-09 05:00:00,Short,12060.709,11737.0,BTCUSD,4,,103.0,0.06757153020362971
2019-08-09 15:00:00,Long,11738.109,11908.0,BTCUSD,1,,5.0,0.0007133481692979494
2019-08-11 01:00:00,Short,11415.65,11364.0,BTCUSD,4,,3.0,0.011135383667722556
2019-08-11 03:00:00,Short,11415.65,11344.31678886,BTCUSD,4,,1.0,0.015405631784244393
2019-08-11 05:00:00,Short,11415.65,11352.0,BTCUSD,0,,1.0,-0.005606941508104267
2019-08-11 11:00:00,Long,0.00036176,0.00036471,EOSU19,4,,1.0,0.019817114968057114
2019-08-11 11:00:00,Long,2.617e-05,2.651e-05,XRPU19,2,,5.0,0.0019238023387400988
2019-08-11 19:00:00,Long,2.625e-05,2.655e-05,XRPU19,0,,26.0,-0.011299435028248607
