average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[5, 13, 55]",0.8546,1.1361,0.2034,0.1959,1.1696,1.1555,0.7859,471.5%,414,511,251,83,242,1501,300.2%,63.7%,171.32%,38.1%
"[10, 25, 34]",0.1854,0.8142,0.3094,0.1317,0.5458,0.7284,0.4525,271.5%,122,175,95,28,89,509,101.8%,37.5%,169.69%,31.5%
"[8, 30, 55]",0.7681,0.4253,0.1913,0.3692,0.2119,0.9321,0.483,289.8%,162,200,87,41,112,602,120.4%,41.5%,169.40%,36.8%
"[10, 21, 233]",1.0713,0.7744,0.1766,0.106,0.5558,0.9899,0.6123,367.4%,271,335,162,63,162,993,198.6%,54.1%,168.79%,37.5%
"[8, 13, 34]",0.6423,1.1689,0.1865,0.2649,1.4969,0.7084,0.7447,446.8%,390,459,238,82,225,1394,278.8%,62.4%,167.99%,38.8%
"[13, 21, 55]",0.3361,0.6544,0.1837,0.1506,0.8626,1.3422,0.5883,353.0%,241,326,152,59,148,926,185.2%,52.5%,167.75%,35.2%
"[10, 15, 100]",0.4996,0.942,0.2568,0.0489,1.2238,1.6731,0.774,464.4%,402,506,265,78,235,1486,297.2%,64.0%,167.22%,37.1%
"[5, 21, 144]",0.5535,1.0178,0.3048,0.0366,0.6626,1.3257,0.6502,390.1%,303,379,180,72,182,1116,223.2%,57.2%,166.90%,37.3%
"[8, 30, 50]",0.7687,0.3115,0.1802,0.382,0.1967,0.9855,0.4708,282.5%,155,191,84,40,108,578,115.6%,40.9%,166.86%,36.6%
"[8, 21, 40]",0.5849,0.9862,0.2533,-0.1763,0.6948,0.8347,0.5296,317.8%,197,263,120,45,132,757,151.4%,47.6%,166.36%,35.2%
"[5, 25, 34]",0.6854,1.0339,0.3987,-0.0099,0.291,0.6598,0.5098,305.9%,174,246,120,41,117,698,139.6%,45.6%,166.29%,33.2%
"[10, 15, 89]",0.539,0.9933,0.1789,0.0689,1.2246,1.6253,0.7717,463.0%,399,510,266,77,234,1486,297.2%,64.2%,165.81%,36.7%
"[5, 25, 75]",0.9239,1.3242,0.3061,0.0413,0.3127,0.5638,0.5787,347.2%,235,326,148,47,151,907,181.4%,52.2%,165.80%,35.0%
"[13, 30, 100]",0.4566,0.3931,0.073,0.2577,0.7493,0.967,0.4828,289.7%,158,212,108,37,106,621,124.2%,42.9%,165.47%,34.1%
"[15, 25, 233]",0.4861,0.5085,0.0856,0.3951,0.8883,0.9565,0.5534,332.0%,217,282,152,49,133,833,166.6%,50.2%,165.42%,35.2%
"[5, 15, 89]",0.4639,1.1449,0.4706,0.0533,0.8979,1.3572,0.7313,438.8%,408,445,217,69,228,1367,273.4%,62.3%,165.39%,42.5%
"[10, 30, 75]",0.5269,0.721,0.0397,0.2498,0.4017,0.9293,0.4781,286.8%,161,206,93,42,106,608,121.6%,42.4%,165.23%,36.0%
"[10, 30, 100]",0.5008,0.6933,0.0355,0.3504,0.4349,0.9148,0.4883,293.0%,171,219,105,43,109,647,129.4%,44.2%,163.58%,35.9%
"[8, 30, 40]",0.7907,0.3948,0.1504,0.2638,0.187,0.8664,0.4422,265.3%,135,163,76,36,100,510,102.0%,38.4%,163.30%,36.0%
"[8, 21, 60]",0.7263,1.2496,0.2045,-0.1829,0.5585,0.801,0.5595,335.7%,227,307,136,50,143,863,172.6%,51.4%,163.10%,35.7%
"[13, 21, 60]",0.3362,0.6786,0.1616,0.1587,0.7787,1.4014,0.5859,351.5%,245,333,156,60,149,943,188.6%,53.7%,162.92%,35.1%
"[10, 21, 150]",0.7935,1.0483,0.218,0.0174,0.4809,0.9984,0.5927,355.6%,269,330,149,57,163,968,193.6%,54.4%,162.04%,38.5%
"[8, 21, 150]",0.7368,1.3135,0.201,-0.066,0.4384,0.9513,0.5958,357.5%,274,333,149,61,161,978,195.6%,54.7%,161.90%,38.9%
"[15, 30, 100]",0.5929,0.6463,-0.0749,0.1521,0.6153,0.9548,0.4811,288.7%,166,207,117,40,104,634,126.8%,43.9%,161.85%,35.5%
"[8, 15, 144]",0.2838,1.0761,0.3102,0.0762,0.8104,1.7769,0.7223,433.4%,394,446,231,73,220,1364,272.8%,62.9%,160.56%,40.6%
"[10, 21, 144]",0.8039,1.0483,0.1863,0.0053,0.494,0.9892,0.5878,352.7%,267,330,150,56,162,965,193.0%,54.7%,159.70%,38.3%
"[10, 21, 40]",0.7074,0.8135,0.3099,-0.0792,0.5051,0.8366,0.5155,309.3%,198,262,117,39,134,750,150.0%,48.5%,159.33%,35.9%
"[5, 34, 50]",0.6171,0.6937,-0.026,0.3337,0.5496,0.7388,0.4845,290.7%,172,219,103,45,118,657,131.4%,45.2%,159.29%,35.5%
"[13, 21, 200]",0.5678,0.4604,0.117,0.2311,0.6465,1.6578,0.6134,368.1%,284,353,174,70,165,1046,209.2%,56.8%,158.85%,37.3%
"[8, 21, 144]",0.7473,1.3174,0.1418,-0.08,0.4514,0.9583,0.5894,353.6%,272,334,150,60,160,976,195.2%,55.2%,158.41%,38.6%
"[5, 15, 50]",0.5342,0.8673,0.5168,-0.1172,1.1173,1.2187,0.6895,413.7%,374,419,210,69,209,1281,256.2%,61.9%,157.51%,41.2%
"[8, 15, 75]",0.3657,0.8279,0.3355,0.1397,0.8713,1.6365,0.6961,417.7%,360,438,225,71,207,1301,260.2%,62.3%,157.46%,38.3%
"[5, 34, 55]",0.5666,0.7617,-0.0194,0.3363,0.4659,0.8128,0.4873,292.4%,178,226,107,44,120,675,135.0%,46.2%,157.39%,35.8%
"[8, 21, 89]",0.8177,1.362,0.0761,-0.1616,0.4043,0.8944,0.5655,339.3%,243,319,142,57,151,912,182.4%,53.8%,156.89%,36.3%
"[8, 15, 150]",0.2832,0.9249,0.3109,0.1451,0.8385,1.7746,0.7129,427.7%,392,442,231,72,218,1355,271.0%,63.4%,156.72%,40.7%
"[8, 15, 233]",0.5504,0.603,0.3314,0.1035,1.0659,1.6368,0.7151,429.1%,397,438,235,74,218,1362,272.4%,63.5%,156.69%,41.1%
"[10, 30, 34]",0.6267,0.5696,0.0717,0.072,0.4203,0.6202,0.3968,238.1%,107,132,63,28,80,410,82.0%,34.4%,156.05%,35.3%
"[8, 15, 60]",0.4632,0.8083,0.3196,0.0141,0.9263,1.5917,0.6872,412.3%,351,431,226,71,204,1283,256.6%,62.2%,155.72%,37.7%
"[8, 13, 50]",0.6974,1.1591,0.3413,0.2078,1.2006,1.0525,0.7765,465.9%,440,519,254,93,245,1551,310.2%,66.6%,155.68%,39.6%
"[5, 15, 100]",0.4278,1.0808,0.475,0.0487,0.8434,1.4281,0.7173,430.4%,418,441,219,71,228,1377,275.4%,64.0%,154.99%,43.6%
"[21, 34, 75]",0.6365,0.2639,0.2166,0.1662,0.8421,0.5987,0.454,272.4%,150,205,108,33,94,590,118.0%,43.3%,154.41%,34.1%
"[8, 21, 34]",0.6525,0.9561,0.1046,-0.2658,0.6952,0.7747,0.4862,291.7%,178,240,114,35,120,687,137.4%,47.1%,154.33%,35.0%
"[8, 21, 75]",0.7199,1.271,0.1079,-0.2005,0.5048,0.9021,0.5509,330.5%,237,302,139,55,148,881,176.2%,53.3%,154.32%,36.8%
"[13, 30, 40]",0.3576,0.3108,0.1028,0.159,0.7784,0.7086,0.4029,241.7%,113,147,75,27,84,446,89.2%,36.9%,152.52%,33.9%
"[10, 25, 75]",0.5234,0.9628,0.2515,0.1296,0.4737,0.6254,0.4944,296.7%,178,254,130,43,116,721,144.2%,48.6%,152.45%,32.8%
"[15, 30, 89]",0.5865,0.5341,-0.0755,0.1382,0.6261,0.9546,0.4607,276.4%,164,202,112,40,102,620,124.0%,44.9%,152.39%,36.0%
"[13, 21, 233]",0.6488,0.4222,0.1241,0.2395,0.6841,1.5124,0.6052,363.1%,285,357,177,72,163,1054,210.8%,58.1%,152.31%,37.1%
"[8, 21, 100]",0.8022,1.2767,0.1786,-0.1876,0.4062,0.913,0.5649,338.9%,253,327,143,59,153,935,187.0%,55.2%,151.91%,37.1%
"[10, 30, 89]",0.501,0.6337,0.034,0.3029,0.395,0.9164,0.4638,278.3%,170,213,102,42,107,634,126.8%,45.6%,151.49%,36.6%
"[13, 21, 50]",0.2129,0.4926,0.1319,0.1774,0.8831,1.4257,0.5539,332.4%,234,323,149,57,142,905,181.0%,54.5%,151.35%,34.9%
"[13, 25, 55]",0.297,0.9397,0.3745,0.0625,0.2224,1.0272,0.4872,292.3%,172,250,122,45,116,705,141.0%,48.2%,151.33%,32.3%
"[10, 21, 60]",0.8195,1.0176,0.2746,-0.0955,0.4282,0.7887,0.5388,323.3%,228,302,138,48,144,860,172.0%,53.2%,151.30%,36.1%
"[13, 30, 75]",0.3913,0.3494,0.0794,0.1752,0.7054,0.9687,0.4449,267.0%,151,196,98,37,101,583,116.6%,43.7%,150.36%,35.0%
"[13, 25, 60]",0.288,0.9649,0.33,0.0649,0.2001,1.0851,0.4888,293.3%,176,252,123,46,118,715,143.0%,48.8%,150.30%,32.7%
"[8, 13, 40]",0.7113,1.2015,0.2337,0.2443,1.214,0.8319,0.7394,443.7%,419,484,246,85,235,1469,293.8%,66.2%,149.86%,39.9%
"[5, 13, 34]",0.7472,0.9831,0.0267,0.223,1.3474,0.7714,0.6831,409.9%,354,439,230,69,210,1302,260.4%,63.5%,149.47%,37.3%
"[13, 30, 89]",0.4502,0.2799,0.0723,0.2255,0.7106,0.9681,0.4511,270.7%,157,204,106,37,103,607,121.4%,44.9%,149.25%,34.9%
"[15, 30, 75]",0.5258,0.5957,-0.0445,0.1102,0.598,0.8932,0.4464,267.9%,157,197,106,38,99,597,119.4%,44.6%,148.45%,35.7%
"[13, 25, 50]",0.2061,0.9642,0.3521,0.0581,0.2714,0.9896,0.4736,284.2%,164,240,119,43,113,679,135.8%,47.8%,148.35%,31.8%
"[8, 21, 55]",0.7214,1.1294,0.2442,-0.2374,0.5761,0.7554,0.5315,318.9%,228,300,135,49,141,853,170.6%,53.5%,148.32%,36.5%
"[15, 25, 150]",0.3616,0.6507,0.0617,0.3159,0.7812,0.9278,0.5165,309.9%,212,279,143,46,130,810,162.0%,52.3%,147.89%,35.5%
"[13, 21, 150]",0.3606,0.6364,0.1675,0.2364,0.6632,1.4857,0.5917,355.0%,284,354,164,69,165,1036,207.2%,58.4%,147.79%,37.8%
"[21, 34, 233]",0.6813,0.1457,0.2843,0.3108,0.7835,0.6206,0.471,282.6%,175,232,129,40,99,675,135.0%,47.8%,147.61%,35.0%
"[21, 34, 50]",0.4584,0.141,0.2671,0.1705,0.8945,0.5664,0.4163,249.8%,128,183,92,27,81,511,102.2%,40.9%,147.59%,33.4%
"[10, 21, 89]",0.8713,1.1626,0.2265,-0.0969,0.2569,0.8773,0.5496,329.8%,245,313,147,54,153,912,182.4%,55.3%,147.38%,36.7%
"[8, 30, 75]",0.6561,0.5458,0.0535,0.4054,0.1419,0.9494,0.4587,275.2%,178,210,99,42,114,643,128.6%,46.7%,146.60%,38.3%
"[8, 15, 55]",0.4963,0.7958,0.3327,-0.0203,0.9941,1.4116,0.6684,401.0%,348,426,228,73,199,1274,254.8%,63.5%,146.22%,37.6%
"[5, 34, 60]",0.55,0.7858,-0.0369,0.3394,0.3771,0.8247,0.4733,284.0%,181,233,110,46,119,689,137.8%,48.5%,146.20%,35.6%
"[13, 25, 150]",0.2932,0.7195,0.1036,0.2877,0.5693,1.1353,0.5181,310.9%,222,273,148,47,134,824,164.8%,53.0%,146.07%,36.9%
"[15, 30, 40]",0.2835,0.537,0.0188,0.1364,0.6748,0.7079,0.3931,235.8%,112,152,81,27,77,449,89.8%,38.1%,146.04%,33.2%
"[5, 30, 40]",0.7024,0.8267,0.1327,0.2251,0.2519,0.607,0.4576,274.6%,172,223,100,32,116,643,128.6%,46.8%,145.98%,36.5%
"[10, 21, 34]",0.7143,0.8382,0.1531,-0.183,0.5692,0.7012,0.4655,279.3%,180,237,111,30,120,678,135.6%,48.5%,143.71%,36.1%
"[10, 21, 100]",0.8669,1.0773,0.3207,-0.1216,0.2536,0.8986,0.5493,329.6%,253,321,148,54,155,931,186.2%,56.5%,143.35%,37.3%
"[10, 25, 144]",0.4914,0.7712,0.1751,0.1705,0.6522,0.7663,0.5044,302.7%,213,272,141,47,125,798,159.6%,52.7%,143.05%,36.4%
"[15, 25, 60]",0.3471,0.8747,0.2485,0.0411,0.4866,0.8777,0.4793,287.6%,180,260,119,46,118,723,144.6%,50.3%,142.97%,33.1%
"[13, 25, 144]",0.324,0.7195,0.1171,0.2876,0.4904,1.1323,0.5118,307.1%,220,273,147,48,133,821,164.2%,53.5%,142.89%,36.6%
"[10, 21, 55]",0.8143,0.9644,0.3036,-0.1381,0.4518,0.7159,0.5186,311.2%,227,296,134,46,142,845,169.0%,54.3%,142.18%,36.7%
"[13, 21, 144]",0.371,0.6622,0.123,0.1812,0.6632,1.4927,0.5822,349.3%,285,354,165,68,164,1036,207.2%,59.3%,142.13%,37.9%
"[15, 25, 144]",0.3682,0.6507,0.0752,0.3158,0.7023,0.9248,0.5062,303.7%,211,279,142,47,129,808,161.6%,53.2%,142.10%,35.3%
"[5, 34, 200]",0.6335,0.6952,-0.0845,0.3867,0.7127,0.7399,0.5139,308.3%,236,269,141,53,133,832,166.4%,54.0%,141.94%,39.6%
"[13, 21, 75]",0.3109,0.6895,0.1113,0.0755,0.6932,1.4634,0.5573,334.4%,256,327,162,67,152,964,192.8%,57.7%,141.58%,36.2%
"[10, 21, 75]",0.7539,1.0744,0.232,-0.1147,0.3684,0.8606,0.5291,317.5%,237,298,144,53,148,880,176.0%,55.4%,141.46%,36.9%
"[5, 34, 40]",0.6023,0.5595,-0.0662,0.317,0.5685,0.6274,0.4347,260.8%,159,194,99,41,107,600,120.0%,46.0%,140.84%,36.1%
"[5, 34, 100]",0.5372,1.0332,-0.0526,0.4335,0.2178,0.753,0.487,292.2%,202,257,128,49,123,759,151.8%,51.9%,140.42%,36.3%
"[10, 25, 150]",0.4522,0.6386,0.2348,0.1706,0.7344,0.7699,0.5001,300.1%,214,272,142,46,125,799,159.8%,53.3%,140.25%,36.6%
"[10, 15, 50]",0.6479,0.8737,0.1617,-0.0645,1.2184,1.4423,0.7133,428.0%,376,490,275,82,216,1439,287.8%,67.3%,140.15%,35.4%
"[13, 21, 34]",0.2085,0.4466,0.0313,0.0845,0.918,1.2485,0.4896,293.7%,199,277,128,44,121,769,153.8%,52.4%,139.94%,34.9%
"[5, 25, 89]",0.828,1.3519,0.2623,0.0081,0.2193,0.5553,0.5375,322.5%,243,327,149,46,148,913,182.6%,56.6%,139.88%,36.3%
"[5, 30, 233]",0.8577,0.6378,-0.0595,0.3041,0.7485,0.68,0.5281,316.9%,245,303,152,46,139,885,177.0%,55.9%,139.86%,38.3%
"[21, 34, 89]",0.6285,0.2953,0.1303,0.1878,0.8173,0.5803,0.4399,264.0%,162,214,114,36,95,621,124.2%,47.1%,139.75%,35.3%
"[8, 21, 50]",0.6553,0.9694,0.2092,-0.2159,0.6352,0.7997,0.5088,305.3%,221,292,135,50,137,835,167.0%,54.7%,138.29%,36.0%
"[10, 60, 150]",0.1967,0.3912,0.0559,0.1509,0.4801,0.868,0.3571,214.3%,106,125,52,21,77,381,76.2%,35.6%,138.09%,38.5%
"[21, 34, 55]",0.5064,0.1642,0.2353,0.1667,0.8462,0.5312,0.4083,245.0%,136,191,98,27,83,535,107.0%,43.7%,138.00%,34.1%
"[10, 60, 144]",0.1967,0.3912,0.0553,0.1529,0.4801,0.8644,0.3568,214.1%,106,125,52,21,77,381,76.2%,35.6%,137.86%,38.5%
"[15, 25, 55]",0.3347,0.7898,0.2922,0.0386,0.525,0.8198,0.4667,280.0%,177,257,119,44,115,712,142.4%,50.9%,137.61%,33.1%
"[21, 34, 60]",0.5118,0.175,0.2381,0.2,0.8393,0.5225,0.4144,248.7%,141,199,105,30,84,559,111.8%,45.0%,136.86%,33.7%
"[5, 34, 233]",0.7477,0.6882,-0.1056,0.3657,0.6495,0.6867,0.5054,303.2%,236,266,146,52,132,832,166.4%,54.9%,136.82%,39.6%
"[5, 13, 50]",0.8125,1.0338,0.1526,0.1227,1.0739,1.1364,0.722,433.2%,413,503,249,84,233,1482,296.4%,68.4%,136.79%,38.6%
"[5, 30, 34]",0.7408,0.8476,0.0935,0.1041,0.2515,0.5075,0.4241,254.5%,159,204,90,31,106,590,118.0%,46.4%,136.49%,36.9%
"[21, 34, 100]",0.648,0.2876,0.1998,0.1938,0.7096,0.5821,0.4368,262.1%,163,219,119,37,94,632,126.4%,48.2%,135.69%,34.8%
"[8, 34, 50]",0.3564,0.9017,-0.1929,0.1309,0.4369,0.8229,0.4093,245.6%,154,180,92,32,95,553,110.6%,45.0%,134.99%,38.6%
"[8, 30, 100]",0.6258,0.5098,0.0161,0.4518,0.2,0.9066,0.4517,271.0%,188,229,109,44,115,685,137.0%,50.6%,134.01%,37.8%
"[10, 21, 50]",0.7344,0.8043,0.2698,-0.1174,0.5067,0.7908,0.4981,298.9%,221,288,133,43,140,825,165.0%,55.2%,133.86%,36.6%
"[8, 34, 55]",0.3323,1.0364,-0.1869,0.1336,0.3644,0.7966,0.4127,247.6%,156,188,99,32,96,571,114.2%,46.1%,133.44%,37.6%
"[13, 25, 40]",0.1614,0.7096,0.2938,0.0681,0.3043,0.9878,0.4208,252.5%,146,212,105,36,100,599,119.8%,47.4%,132.70%,32.2%
"[8, 30, 34]",0.8073,0.2624,0.099,0.1844,0.2076,0.6597,0.3701,222.0%,124,139,66,31,87,447,89.4%,40.3%,132.63%,38.4%
"[21, 34, 150]",0.5696,0.1167,0.2437,0.2633,0.7995,0.6503,0.4405,264.3%,176,227,123,41,97,664,132.8%,50.2%,131.51%,36.1%
"[21, 34, 200]",0.5735,0.0705,0.285,0.3133,0.8008,0.6326,0.446,267.6%,178,233,131,41,98,681,136.2%,50.9%,131.38%,35.4%
"[5, 15, 40]",0.5622,0.8275,0.4559,-0.0729,1.0237,0.9234,0.62,372.0%,353,391,196,69,195,1204,240.8%,64.7%,131.19%,41.5%
"[13, 25, 34]",0.1352,0.6379,0.2071,0.1337,0.1867,1.0532,0.3923,235.4%,129,187,90,32,89,527,105.4%,44.8%,129.98%,32.4%
"[10, 60, 100]",0.1425,0.4834,0.0318,0.1761,0.4021,0.7798,0.336,201.6%,101,114,51,19,74,359,71.8%,35.6%,129.78%,39.1%
"[15, 25, 75]",0.4126,0.7458,0.2534,0.1762,0.4398,0.7701,0.4663,279.8%,188,267,127,49,120,751,150.2%,53.7%,129.60%,33.4%
"[5, 30, 60]",0.6355,0.9803,0.112,0.2463,0.1784,0.6366,0.4649,278.9%,206,265,117,36,127,751,150.2%,53.9%,128.71%,37.8%
"[8, 40, 150]",0.4497,0.4652,-0.1214,0.1994,0.4953,1.031,0.4199,251.9%,164,215,105,37,104,625,125.0%,49.6%,126.92%,35.6%
"[10, 60, 233]",0.3514,0.2074,0.0506,0.1565,0.4199,0.8641,0.3417,205.0%,111,127,54,24,78,394,78.8%,38.4%,126.20%,39.2%
"[5, 34, 150]",0.5318,0.8382,-0.065,0.3875,0.396,0.7769,0.4776,286.5%,227,267,134,51,127,806,161.2%,56.3%,125.34%,39.2%
"[10, 25, 89]",0.525,0.874,0.2702,0.0964,0.3447,0.6143,0.4541,272.5%,189,260,128,44,115,736,147.2%,54.0%,125.27%,34.6%
"[8, 15, 89]",0.3207,0.825,0.3028,0.061,0.8197,1.5838,0.6522,391.3%,378,445,229,70,210,1332,266.4%,68.1%,124.90%,39.6%
"[5, 13, 40]",0.7882,1.0301,0.0683,0.1395,1.122,0.8833,0.6719,403.1%,387,472,238,74,221,1392,278.4%,69.1%,124.74%,38.5%
"[10, 60, 200]",0.2539,0.2462,0.0565,0.1434,0.4305,0.9042,0.3391,203.5%,113,127,54,23,77,394,78.8%,38.7%,124.68%,40.2%
"[13, 60, 150]",0.2364,0.3869,-0.0611,0.0715,0.6225,0.7244,0.3301,198.1%,102,128,52,17,69,368,73.6%,37.2%,124.46%,38.3%
"[5, 30, 200]",0.7724,0.7389,-0.0598,0.3155,0.4966,0.7433,0.5011,300.7%,248,303,147,46,138,882,176.4%,58.7%,124.29%,39.1%
"[13, 25, 75]",0.3616,0.8195,0.2735,0.1758,0.1598,0.9538,0.4573,274.4%,191,262,131,48,120,752,150.4%,54.8%,124.00%,34.0%
"[21, 34, 144]",0.5711,0.1771,0.1832,0.259,0.7151,0.6482,0.4256,255.4%,175,224,122,41,95,657,131.4%,51.5%,123.97%,36.3%
"[5, 34, 75]",0.5197,0.9034,-0.0928,0.3479,0.2923,0.6763,0.4411,264.7%,195,235,116,45,117,708,141.6%,53.5%,123.08%,38.0%
"[8, 30, 89]",0.6249,0.4686,-0.0086,0.4152,0.1519,0.9115,0.4272,256.4%,188,220,106,43,113,670,134.0%,52.3%,122.35%,39.0%
"[5, 30, 50]",0.5878,0.8018,0.1261,0.2242,0.2017,0.6976,0.4398,263.9%,195,247,112,36,121,711,142.2%,53.9%,121.71%,37.8%
"[8, 34, 40]",0.2653,0.8802,-0.2722,0.1236,0.4498,0.7591,0.3676,220.6%,136,161,87,29,83,496,99.2%,45.0%,121.39%,37.8%
"[5, 30, 55]",0.6445,0.8801,0.1257,0.2112,0.173,0.6457,0.4467,268.0%,202,258,114,36,124,734,146.8%,54.8%,121.23%,38.0%
"[15, 30, 34]",0.3078,0.3886,0.063,0.1525,0.5285,0.5373,0.3296,197.8%,100,123,72,23,65,383,76.6%,38.7%,121.17%,35.3%
"[5, 34, 89]",0.5382,0.9754,-0.127,0.3164,0.2739,0.7173,0.4491,269.4%,201,253,123,46,119,742,148.4%,55.1%,121.03%,37.2%
"[13, 21, 89]",0.3903,0.7819,0.0633,0.0933,0.3889,1.4688,0.5311,318.7%,265,346,163,68,152,994,198.8%,62.4%,119.85%,36.4%
"[10, 60, 75]",0.1227,0.5672,-0.0748,0.2078,0.2843,0.769,0.3127,187.6%,96,112,43,18,71,340,68.0%,36.2%,119.62%,39.3%
"[10, 34, 50]",0.4161,0.6313,-0.2276,0.041,0.5222,0.8329,0.3693,221.6%,129,174,93,31,85,512,102.4%,46.2%,119.18%,33.7%
"[15, 25, 89]",0.4165,0.6718,0.1753,0.2195,0.4477,0.7704,0.4502,270.1%,193,271,126,49,119,758,151.6%,56.1%,118.52%,34.2%
"[5, 34, 144]",0.4647,0.8361,-0.1507,0.4003,0.4547,0.7765,0.4636,278.2%,225,265,133,50,126,799,159.8%,57.5%,118.35%,39.2%
"[10, 25, 100]",0.4819,0.866,0.2445,0.0933,0.3229,0.698,0.4511,270.7%,200,269,135,43,116,763,152.6%,56.4%,118.07%,35.5%
"[21, 34, 40]",0.3733,-0.1136,0.2267,0.176,0.8606,0.5397,0.3438,206.3%,115,152,87,20,70,444,88.8%,43.1%,117.47%,35.0%
"[8, 15, 100]",0.2921,0.7481,0.3403,0.041,0.7726,1.635,0.6382,382.9%,384,440,229,70,209,1332,266.4%,69.6%,116.51%,40.5%
"[13, 25, 89]",0.3632,0.7309,0.2153,0.223,0.2345,0.9187,0.4476,268.6%,200,265,129,49,122,765,153.0%,57.0%,115.56%,35.4%
"[10, 55, 150]",0.089,0.3945,0.0174,0.158,0.5387,0.8193,0.3361,201.7%,116,155,60,25,75,431,86.2%,42.7%,115.49%,36.8%
"[13, 21, 100]",0.3759,0.7578,0.1492,0.0686,0.4182,1.4039,0.5289,317.4%,274,349,165,68,154,1010,202.0%,63.7%,115.36%,37.2%
"[8, 40, 144]",0.4497,0.3662,-0.1777,0.2049,0.5061,1.042,0.3985,239.1%,163,213,103,38,102,619,123.8%,51.8%,115.33%,35.7%
"[13, 60, 144]",0.1918,0.4018,-0.0611,0.0696,0.5507,0.7244,0.3128,187.7%,101,128,52,17,67,365,73.0%,38.9%,114.71%,38.3%
"[15, 25, 50]",0.23,0.707,0.2702,0.0372,0.4969,0.7834,0.4208,252.5%,171,251,116,43,108,689,137.8%,54.6%,114.68%,33.0%
"[10, 60, 89]",0.1429,0.4988,-0.0285,0.1907,0.2617,0.7731,0.3064,183.9%,100,112,45,19,71,347,69.4%,37.7%,114.47%,40.5%
"[8, 34, 200]",0.3578,0.6751,-0.2409,0.152,0.7736,0.8818,0.4332,259.9%,214,232,135,36,112,729,145.8%,56.1%,114.14%,41.6%
"[10, 34, 55]",0.3972,0.7431,-0.2284,0.0433,0.4496,0.8003,0.3675,220.5%,133,182,99,32,86,532,106.4%,48.3%,114.11%,33.3%
"[13, 30, 34]",0.3532,0.1683,0.1225,0.1232,0.6358,0.4984,0.3169,190.2%,102,121,65,24,70,382,76.4%,40.2%,113.75%,36.4%
"[15, 25, 100]",0.3724,0.6843,0.1424,0.2133,0.4379,0.8458,0.4493,269.6%,204,277,132,48,121,782,156.4%,58.0%,113.20%,35.3%
"[10, 55, 144]",0.089,0.3945,0.0183,0.1696,0.5387,0.7662,0.3294,197.6%,115,155,62,25,74,431,86.2%,43.6%,111.44%,36.4%
"[8, 15, 50]",0.4652,0.6987,0.3223,-0.1247,0.8866,1.3576,0.601,360.6%,347,414,227,71,192,1251,250.2%,69.4%,110.37%,38.4%
"[10, 34, 40]",0.3109,0.6024,-0.2397,0.0266,0.5304,0.7841,0.3358,201.5%,117,152,86,27,74,456,91.2%,45.3%,110.27%,34.5%
"[5, 60, 150]",0.1989,0.3781,0.013,0.1931,0.4224,0.9341,0.3566,214.0%,142,171,85,33,88,519,103.8%,48.5%,110.16%,37.7%
"[13, 25, 100]",0.3223,0.7215,0.1819,0.185,0.2243,1.0371,0.4454,267.2%,210,269,136,48,123,786,157.2%,58.8%,110.02%,36.5%
"[13, 60, 100]",0.1911,0.5032,-0.0812,0.1145,0.4581,0.5861,0.2953,177.2%,94,118,51,17,63,343,68.6%,38.7%,108.58%,37.8%
"[21, 75, 233]",0.5072,0.1036,-0.0461,0.1434,0.4417,0.4471,0.2662,159.7%,65,85,36,26,45,257,51.4%,32.2%,108.29%,33.9%
"[13, 55, 150]",0.0905,0.3904,-0.1262,0.1525,0.4428,0.8921,0.307,184.2%,110,126,59,23,72,390,78.0%,42.3%,106.21%,39.3%
"[13, 34, 50]",0.2751,0.5132,0.0253,0.2403,0.3136,0.6376,0.3342,200.5%,122,154,93,24,81,474,94.8%,47.3%,105.72%,34.7%
"[10, 55, 60]",-0.0683,0.4918,0.0091,0.1694,0.4075,0.7484,0.293,175.8%,95,128,41,29,58,351,70.2%,39.9%,105.58%,37.1%
"[10, 55, 233]",0.0446,0.3259,0.0118,0.2014,0.4549,0.9058,0.3241,194.4%,120,160,62,27,76,445,89.0%,45.8%,105.44%,36.9%
"[8, 40, 100]",0.5337,0.3705,-0.1628,0.1071,0.299,1.083,0.3717,223.0%,149,210,101,36,95,591,118.2%,53.0%,104.84%,33.7%
"[5, 15, 34]",0.3008,0.8559,0.3746,-0.0979,1.0831,0.7505,0.5445,326.7%,329,358,187,56,180,1110,222.0%,68.0%,104.69%,42.1%
"[5, 60, 144]",0.1989,0.3193,0.0125,0.1892,0.4224,0.936,0.3464,207.8%,142,171,85,33,87,518,103.6%,49.8%,104.23%,37.8%
"[13, 60, 200]",0.276,0.2595,-0.0604,0.0543,0.5024,0.7621,0.299,179.4%,108,133,55,18,68,382,76.4%,42.6%,102.98%,39.4%
"[10, 40, 100]",0.565,0.4183,-0.1127,0.1637,0.2776,0.7838,0.3493,209.6%,143,177,99,29,86,534,106.8%,51.0%,102.78%,36.6%
"[8, 34, 75]",0.4139,1.0874,-0.3077,0.0912,0.1346,0.8184,0.373,223.8%,173,200,102,35,96,606,121.2%,54.2%,102.57%,40.0%
