average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[21, 25, 89]",0.4737,0.4682,0.3009,0.5433,1.1487,1.7667,0.7836,470.2%,300,364,185,64,185,1098,219.6%,46.7%,250.56%,37.6%
"[10, 15, 200]",0.6993,0.9365,0.2613,0.1343,1.4835,1.964,0.9132,547.9%,400,500,262,83,246,1491,298.2%,54.4%,249.69%,36.7%
"[13, 15, 50]",0.6981,1.6761,0.1223,0.4765,1.6173,1.8016,1.0653,639.2%,547,656,337,103,321,1964,392.8%,61.5%,246.38%,38.6%
"[15, 30, 200]",0.565,0.7039,0.0126,0.336,1.1336,1.1097,0.6435,386.1%,171,232,130,44,122,699,139.8%,36.2%,246.29%,32.4%
"[15, 21, 55]",0.3985,0.9149,0.4416,0.3987,1.2369,1.0781,0.7448,446.9%,267,343,172,62,165,1009,201.8%,45.2%,245.07%,36.0%
"[13, 30, 200]",0.4806,0.4821,0.1817,0.4106,1.1408,1.1378,0.6389,383.4%,167,232,127,43,123,692,138.4%,36.1%,244.96%,31.8%
"[10, 13, 75]",0.3676,1.2154,0.5381,0.3875,2.087,1.7848,1.0634,638.1%,550,664,319,119,319,1971,394.2%,61.8%,243.85%,38.7%
"[10, 30, 200]",0.7974,0.5726,0.145,0.508,0.7556,1.0935,0.6453,387.2%,177,241,128,47,125,718,143.6%,37.1%,243.61%,32.7%
"[15, 21, 40]",0.2309,0.6431,0.4039,0.4508,1.3255,1.2332,0.7146,428.7%,243,318,151,56,158,926,185.2%,43.2%,243.54%,35.6%
"[21, 30, 144]",0.696,0.5017,0.1986,0.3475,0.9162,1.3261,0.6644,398.6%,191,270,151,37,134,783,156.6%,39.3%,242.01%,32.3%
"[8, 13, 233]",0.9431,1.1557,0.6046,0.4854,1.0757,1.3193,0.9306,558.4%,449,536,249,95,266,1595,319.0%,57.1%,239.37%,39.2%
"[10, 13, 60]",0.3185,1.2749,0.5538,0.3641,2.1151,1.6981,1.0541,632.5%,546,673,322,117,315,1973,394.6%,62.4%,237.87%,38.3%
"[10, 15, 233]",0.7989,0.8152,0.2661,0.1161,1.5466,1.8006,0.8906,534.3%,399,500,266,82,242,1489,297.8%,55.7%,236.54%,36.6%
"[21, 30, 75]",0.7895,0.4656,0.1867,0.2694,0.8657,1.2285,0.6342,380.5%,176,259,127,37,128,727,145.4%,38.2%,235.13%,31.9%
"[8, 30, 233]",0.9596,0.2948,0.1399,0.5939,0.8225,1.0264,0.6395,383.7%,194,254,123,50,134,755,151.0%,39.4%,232.71%,34.6%
"[15, 21, 50]",0.277,0.7557,0.3891,0.4517,1.2653,1.1548,0.7156,429.4%,259,341,169,59,160,988,197.6%,46.0%,231.76%,35.5%
"[10, 15, 144]",0.5579,1.2725,0.239,0.0951,1.2521,1.9095,0.8877,532.6%,402,511,266,79,247,1505,301.0%,56.5%,231.61%,36.4%
"[15, 21, 75]",0.3395,0.9845,0.3669,0.3484,1.0365,1.2739,0.725,435.0%,271,345,177,65,167,1025,205.0%,47.1%,229.98%,35.9%
"[8, 25, 55]",0.8298,1.1855,0.2994,0.0721,0.5368,0.7574,0.6135,368.1%,168,242,121,41,127,699,139.8%,38.0%,228.30%,31.6%
"[21, 30, 89]",0.7642,0.3909,0.1226,0.3247,0.8934,1.2649,0.6268,376.1%,183,261,133,37,129,743,148.6%,39.5%,227.47%,32.7%
"[10, 13, 55]",0.2933,1.1898,0.5649,0.343,2.1832,1.6305,1.0341,620.5%,545,667,326,117,312,1967,393.4%,63.4%,227.06%,38.3%
"[10, 15, 150]",0.5574,1.1231,0.2389,0.1529,1.2783,1.9072,0.8763,525.8%,401,507,266,78,245,1497,299.4%,56.9%,226.38%,36.6%
"[10, 13, 100]",0.4251,1.4452,0.5202,0.3338,1.6581,1.7741,1.0261,615.7%,550,659,315,114,317,1955,391.0%,63.5%,224.65%,39.1%
"[8, 25, 60]",0.8214,1.2192,0.2854,0.0723,0.4847,0.7749,0.6096,365.8%,169,247,122,41,128,707,141.4%,38.7%,224.37%,31.4%
"[8, 30, 200]",0.8859,0.3825,0.1197,0.5948,0.6898,1.0834,0.626,375.6%,199,250,124,50,134,757,151.4%,40.3%,224.22%,35.7%
"[5, 13, 200]",1.02,1.2491,0.2385,0.361,1.0293,1.4355,0.8889,533.3%,435,516,246,88,261,1546,309.2%,58.0%,224.14%,39.2%
"[10, 13, 89]",0.4649,1.4259,0.4676,0.3226,1.764,1.7039,1.0248,614.9%,554,655,318,116,318,1961,392.2%,63.8%,222.69%,39.4%
"[13, 30, 150]",0.3589,0.4929,0.2136,0.3941,1.0193,1.0809,0.5933,356.0%,165,221,122,40,119,667,133.4%,37.5%,222.57%,32.9%
"[13, 15, 34]",0.54,1.6851,0.075,0.5438,1.5326,1.501,0.9796,587.7%,515,594,319,100,299,1827,365.4%,62.2%,222.34%,39.3%
"[5, 13, 144]",0.8904,1.5324,0.2307,0.2838,0.9763,1.412,0.8876,532.6%,435,518,254,86,262,1555,311.0%,58.4%,221.55%,38.8%
"[21, 25, 40]",0.2471,-0.0827,0.3431,0.5697,1.2391,1.7804,0.6828,409.7%,257,311,162,54,157,941,188.2%,45.9%,221.46%,37.6%
"[5, 25, 200]",1.0251,1.199,0.2071,0.3429,0.4931,0.9241,0.6985,419.1%,265,335,167,56,168,991,198.2%,47.3%,220.93%,36.5%
"[21, 30, 40]",0.5222,0.389,0.2698,0.3092,0.8522,0.9984,0.5568,334.1%,123,213,104,25,101,566,113.2%,33.9%,220.88%,27.8%
"[8, 13, 89]",0.8267,1.4802,0.4464,0.3916,1.0235,1.2214,0.8983,539.0%,451,529,252,93,268,1593,318.6%,59.1%,220.38%,39.5%
"[5, 13, 150]",0.8837,1.5013,0.2072,0.353,0.9389,1.4281,0.8854,531.2%,436,518,252,87,262,1555,311.0%,58.5%,220.22%,39.0%
"[15, 21, 34]",0.2942,0.6034,0.2687,0.3858,1.3796,0.981,0.6521,391.3%,226,302,139,48,142,857,171.4%,43.8%,219.89%,35.8%
