ticker,price,stop_loss,net_profit,pct,tp
ADA-BTC,3.142e-05,3.2e-05,0.017536600891152065,0.018459579885423228,2
LTC-BTC,0.020744,0.020095,0.02972184728114155,0.03128615503278058,2
BTC-USDT,9429.61,9754.98,-0.03450513860064191,0.03450513860064191,0
ETH-BTC,0.081448,0.082999,0.018090683626362795,0.019042824869855573,2
LTC-BTC,0.019235,0.01998,0.0009682869768650932,0.038731479074603725,1
LTC-BTC,0.018638,0.019115,0.0006398218692992834,0.025592874771971336,1
ETH-USDT,856.02,868.98,0.014382841522394378,0.015139833181467766,2
ETH-BTC,0.075402,0.076123,-0.00956208058141693,0.00956208058141693,0
BTC-USDT,11515.0,11090.01,-0.036907511940946575,0.036907511940946575,0
LTC-BTC,0.018339,0.018799,-0.025083156115382442,0.025083156115382442,0
ETH-BTC,0.07495800000000001,0.077557,0.0008668187518343572,0.03467275007337429,1
EOS-BTC,0.00069007,0.00071449,0.033618328575361976,0.03538771428985471,2
LTC-BTC,0.01819,0.0186,0.0005634964266080225,0.0225398570643209,1
LTC-BTC,0.018242,0.018564,0.00044128933231005283,0.017651573292402113,1
ADA-BTC,2.539e-05,2.628e-05,0.03330051201260339,0.03505317053958251,2
XRP-BTC,8.396e-05,8.588e-05,0.0005717008099094793,0.02286803239637917,1
XRP-BTC,8.788e-05,8.548e-05,0.02594446973145202,0.02730996813837055,2
ETH-BTC,0.076922,0.0745,0.0007871610202542861,0.03148644081017144,1
LTC-BTC,0.020453,0.01991,-0.0265486725663716,0.0265486725663716,0
XRP-BTC,8.94e-05,8.587e-05,-0.03948545861297541,0.03948545861297541,0
ETH-BTC,0.079029,0.0772,-0.02314340305457487,0.02314340305457487,0
ETH-BTC,0.075573,0.077186,0.020276421473277535,0.021343601550818457,2
XRP-BTC,8.453e-05,8.62e-05,0.0004939074884656303,0.01975629953862521,1
XRP-BTC,8.416e-05,8.609e-05,0.02178588403041829,0.022932509505703465,2
EOS-BTC,0.0006051,0.0006156000000000001,0.01648487853247412,0.017352503718393808,2
ETH-BTC,0.070766,0.073556,0.03745442726733178,0.039425712912980825,2
LTC-BTC,0.018623,0.018959,-0.01804220587445629,0.01804220587445629,0
ETH-BTC,0.061504,0.063,0.0006080905306971894,0.024323621227887574,1
ETH-BTC,0.061082,0.063,0.000785010314004127,0.03140041256016508,1
LTC-BTC,0.018657,0.019038,0.0005105322399099526,0.020421289596398103,1
ETH-USDT,527.0,543.0,0.0007590132827324479,0.030360531309297913,1
XRP-BTC,7.202e-05,7.335e-05,0.017543737850596906,0.018467092474312535,2
ETH-BTC,0.056815,0.057961,0.019162193082812657,0.02017072956085543,2
BTC-USDT,7880.01,8109.0,0.027606627402757076,0.02905960779237587,2
BTC-USDT,7899.94,8109.0,0.025140317521398947,0.026463492127788365,2
ADA-BTC,1.957e-05,2.02e-05,0.0008048032703117004,0.032192130812468016,1
EOS-BTC,0.000786,0.00076675,0.023266539440203633,0.024491094147582774,2
ETH-BTC,0.055178,0.0559,0.012430678893762015,0.013084925151328437,2
ETH-BTC,0.054673,0.0559,0.0005610630475737562,0.02244252190295025,1
ADA-BTC,2.154e-05,2.099e-05,0.0006383472609099348,0.02553389043639739,1
BTC-USDT,7350.0,7223.0,-0.01727891156462585,0.01727891156462585,0
ADA-BTC,2.134e-05,2.185e-05,-0.023898781630740405,0.023898781630740405,0
XRP-BTC,7.114e-05,7.189e-05,0.010015462468372285,0.010542592071970827,2
XRP-BTC,7.034e-05,7.15e-05,0.0004122831959056047,0.016491327836224187,1
BTC-USDT,7027.0,6937.03,0.012163298704995053,0.012803472321047425,2
ADA-BTC,2.226e-05,2.18e-05,0.019631626235399775,0.02066486972147345,2
ETH-USDT,399.56,391.4,0.019401341475623245,0.020422464711182364,2
ETH-BTC,0.059511,0.0584,0.017735376653055752,0.01866881752953237,2
XRP-BTC,7.167e-05,7.09e-05,0.010206502023161639,0.010743686340170146,2
XRP-BTC,7.170000000000001e-05,7.09e-05,0.00027894002789400485,0.011157601115760193,1
XRP-BTC,7.209999999999999e-05,7.09e-05,0.00041608876560332483,0.016643550624132992,1
ETH-BTC,0.062912,0.0621,0.0003226729399796515,0.012906917599186059,1
BTC-USDT,8060.22,7849.46,0.024840761170290663,0.02614816965293754,2
ETH-BTC,0.063013,0.061701,0.0005205275101963089,0.020821100407852358,1
XRP-BTC,8.114e-05,7.935e-05,0.020957604140990817,0.02206063593788507,2
LTC-BTC,0.015764,0.016004,-0.015224562293834091,0.015224562293834091,0
ETH-BTC,0.0634,0.06291000000000001,0.007342271293375251,0.007728706624605528,2
XRP-BTC,8.224e-05,8.101e-05,0.01420841439688716,0.014956225680933853,2
ETH-BTC,0.06349199999999999,0.062874,0.00024333774333774083,0.009733509733509633,1
ETH-USDT,517.36,504.08,0.024385340961806144,0.025668779959795943,2
ETH-BTC,0.063874,0.063261,0.00911716817484426,0.00959701913141501,2
LTC-BTC,0.017158,0.016855000000000002,0.0004414850215642816,0.017659400862571263,1
ETH-BTC,0.064093,0.063373,0.0002808419016117199,0.011233676064468795,1
LTC-BTC,0.017646000000000002,0.0175,0.007860138274963178,0.008273829763119135,2
LTC-BTC,0.017873,0.0175,-0.02086946791249361,0.02086946791249361,0
ETH-USDT,611.8,589.0,0.03540372670807447,0.037267080745341546,2
BTC-USDT,8940.03,8762.32,-0.019878009357910537,0.019878009357910537,0
EOS-BTC,0.0013036,0.0012882999999999998,-0.01173672905799341,0.01173672905799341,0
BTC-USDT,8911.54,8831.0,-0.009037719630950528,0.009037719630950528,0
