ticker,price,stop_loss,net_profit,pct,tp
ADA-BTC,3.142e-05,3.2e-05,0.017536600891152065,0.018459579885423228,2
BTC-USDT,9757.0,10496.97,0.0018959977452085667,0.07583990980834267,1
LTC-BTC,0.020651,0.020095,0.025577453876325647,0.026923635659290155,2
ETH-BTC,0.085406,0.081001,0.0012894293140997097,0.05157717256398839,1
LTC-BTC,0.020744,0.020095,0.02972184728114155,0.03128615503278058,2
BTC-USDT,9429.61,9754.98,-0.03450513860064191,0.03450513860064191,0
ETH-BTC,0.081448,0.082999,0.018090683626362795,0.019042824869855573,2
BTC-USDT,10671.93,10288.3,0.03415019588771674,0.035947574618649204,2
LTC-BTC,0.019235,0.01998,0.0009682869768650932,0.038731479074603725,1
ADA-BTC,2.644e-05,2.81e-05,0.001569591527987895,0.06278366111951579,1
BTC-USDT,11322.0,10780.0,0.0011967850203144321,0.047871400812577285,1
ADA-BTC,2.549e-05,2.81e-05,0.0972734405649273,0.10239309533150243,2
LTC-BTC,0.018638,0.019115,0.0006398218692992834,0.025592874771971336,1
ETH-USDT,856.02,868.98,0.014382841522394378,0.015139833181467766,2
ETH-BTC,0.075402,0.076123,-0.00956208058141693,0.00956208058141693,0
BTC-USDT,11515.0,11090.01,-0.036907511940946575,0.036907511940946575,0
LTC-BTC,0.018339,0.018799,-0.025083156115382442,0.025083156115382442,0
ETH-BTC,0.07495800000000001,0.077557,0.0008668187518343572,0.03467275007337429,1
ADA-BTC,2.509e-05,2.647e-05,-0.05500199282582704,0.05500199282582704,0
EOS-BTC,0.00069007,0.00071449,0.033618328575361976,0.03538771428985471,2
ADA-BTC,2.554e-05,2.693e-05,0.05170321064996092,0.05442443226311676,2
ADA-BTC,2.583e-05,2.658e-05,0.027584204413472754,0.029036004645760796,2
LTC-BTC,0.01819,0.0186,0.0005634964266080225,0.0225398570643209,1
LTC-BTC,0.018242,0.018564,0.00044128933231005283,0.017651573292402113,1
ADA-BTC,2.539e-05,2.628e-05,0.03330051201260339,0.03505317053958251,2
XRP-BTC,8.396e-05,8.588e-05,0.0005717008099094793,0.02286803239637917,1
XRP-BTC,8.337e-05,8.588e-05,-0.030106753028667405,0.030106753028667405,0
EOS-BTC,0.00063304,0.00066589,-0.051892455453052044,0.051892455453052044,0
EOS-BTC,0.0006450000000000001,0.00066589,-0.032387596899224755,0.032387596899224755,0
XRP-BTC,8.788e-05,8.548e-05,0.02594446973145202,0.02730996813837055,2
EOS-BTC,0.00062692,0.0006678999999999999,-0.06536719198621821,0.06536719198621821,0
ETH-BTC,0.076922,0.0745,0.0007871610202542861,0.03148644081017144,1
ETH-USDT,680.55,739.0,-0.08588641539930945,0.08588641539930945,0
BTC-USDT,8789.0,9468.88,-0.07735578564114225,0.07735578564114225,0
LTC-BTC,0.020453,0.01991,-0.0265486725663716,0.0265486725663716,0
XRP-BTC,8.94e-05,8.587e-05,-0.03948545861297541,0.03948545861297541,0
ETH-BTC,0.079029,0.0772,-0.02314340305457487,0.02314340305457487,0
ETH-BTC,0.075573,0.077186,0.020276421473277535,0.021343601550818457,2
XRP-BTC,8.453e-05,8.62e-05,0.0004939074884656303,0.01975629953862521,1
BTC-USDT,9069.3,9349.0,0.029298292040179582,0.03084030741071535,2
ADA-BTC,2.446e-05,2.325e-05,-0.04946852003270647,0.04946852003270647,0
BTC-USDT,8883.74,9333.78,0.04812590192869229,0.05065884413546557,2
XRP-BTC,8.416e-05,8.609e-05,0.02178588403041829,0.022932509505703465,2
XRP-BTC,8.235e-05,8.775e-05,0.06229508196721322,0.0655737704918034,2
ETH-USDT,599.21,621.12,0.0009141202583401466,0.03656481033360586,1
BTC-USDT,8126.0,8430.0,0.0009352695052916565,0.03741078021166626,1
XRP-BTC,8.295e-05,8.690000000000001e-05,0.045238095238095404,0.0476190476190478,2
ETH-USDT,602.65,613.72,-0.01836887082054269,0.01836887082054269,0
ETH-USDT,598.38,624.0,0.04067482201945253,0.0428156021257395,2
BTC-USDT,8186.02,8529.89,0.039906633504437926,0.04200698263625045,2
ETH-BTC,0.07304,0.073478,-0.005996714129244358,0.005996714129244358,0
EOS-BTC,0.00061119,0.00061679,0.008704330895466265,0.009162453574175016,2
EOS-BTC,0.0006051,0.0006156000000000001,0.01648487853247412,0.017352503718393808,2
ETH-BTC,0.070766,0.073556,0.03745442726733178,0.039425712912980825,2
LTC-BTC,0.018623,0.018959,-0.01804220587445629,0.01804220587445629,0
ETH-BTC,0.063976,0.065933,0.02906011629361011,0.030589596098536957,2
LTC-BTC,0.018714,0.01894,0.0003019130063054358,0.012076520252217431,1
ETH-USDT,527.07,557.77,-0.05824653271861409,0.05824653271861409,0
EOS-BTC,0.00073621,0.00066199,0.0025203406636693324,0.10081362654677328,1
ETH-BTC,0.063193,0.0638,0.009125219565458146,0.009605494279429628,2
ADA-BTC,2.363e-05,2.273e-05,-0.038087177316969874,0.038087177316969874,0
EOS-BTC,0.000791,0.0007233,-0.08558786346396975,0.08558786346396975,0
EOS-BTC,0.00078885,0.000746,0.0013579894783545664,0.05431957913418265,1
ETH-BTC,0.061504,0.063,0.0006080905306971894,0.024323621227887574,1
ETH-BTC,0.061082,0.063,0.000785010314004127,0.03140041256016508,1
ETH-USDT,524.37,532.98,-0.016419703644373274,0.016419703644373274,0
LTC-BTC,0.018657,0.019038,0.0005105322399099526,0.020421289596398103,1
ETH-USDT,527.0,543.0,0.0007590132827324479,0.030360531309297913,1
BTC-USDT,8433.0,8669.85,0.02668178584133764,0.028086090359302783,2
BTC-USDT,8461.0,8669.85,0.02344965134144904,0.024683843517314782,2
ETH-USDT,507.99,527.67,0.03680387409200959,0.0387409200968522,2
BTC-USDT,7792.22,8150.17,0.043640002463996116,0.04593684469894328,2
ADA-BTC,1.958e-05,2.021e-05,0.0008043922369765097,0.03217568947906039,1
ETH-BTC,0.05732200000000001,0.057961,0.010590174801995521,0.01114755242315318,2
XRP-BTC,7.202e-05,7.335e-05,0.017543737850596906,0.018467092474312535,2
ETH-BTC,0.056815,0.057961,0.019162193082812657,0.02017072956085543,2
ETH-USDT,446.34,466.0,0.0418447820047498,0.04404713895236821,2
BTC-USDT,7880.01,8109.0,0.027606627402757076,0.02905960779237587,2
BTC-USDT,7899.94,8109.0,0.025140317521398947,0.026463492127788365,2
ADA-BTC,1.957e-05,2.02e-05,0.0008048032703117004,0.032192130812468016,1
BTC-USDT,7596.0,8009.0,0.05165218536071616,0.054370721432332805,2
EOS-BTC,0.000786,0.00076675,0.023266539440203633,0.024491094147582774,2
EOS-BTC,0.00079907,0.00076675,0.03842466867733749,0.04044701966035525,2
ETH-USDT,385.97,396.7,-0.027800088089747807,0.027800088089747807,0
ETH-USDT,393.92,410.0,0.03877944760357429,0.04082047116165715,2
BTC-USDT,6922.12,7172.0,0.03429382905814983,0.036098767429631404,2
ETH-USDT,380.51,386.63,-0.016083677170113806,0.016083677170113806,0
ETH-BTC,0.055178,0.0559,0.012430678893762015,0.013084925151328437,2
