date,signal,price,stop_loss,ticker,pct
2019-10-02 18:00:00,Short,0.02677,0.02702,BCH/Z19,
2019-10-03 14:00:00,Short,0.02669,0.027,BCH/Z19,
2019-10-05 00:00:00,Short,8126,8229,BTC/USD,
2019-10-05 09:00:00,Long,0.02739,0.02712,BCH/Z19,
2019-10-05 10:00:00,Long,0.007075,0.00689,LTC/Z19,
2019-10-05 11:00:00,Long,0.0218,0.02146,ETH/Z19,
2019-10-05 21:00:00,Short,8066.5,8200,BTC/USD,
2019-10-05 21:00:00,Long,3.164E-05,3.082E-05,XRP/Z19,
2019-10-05 23:00:00,Long,0.000365,0.0003621,EOS/Z19,
2019-10-06 02:00:00,Short,173.8,177.5,ETH/USD,
2019-10-06 19:00:00,Long,0.0003692,0.0003566,EOS/Z19,
2019-10-06 23:00:00,Long,0.02201,0.02154,ETH/Z19,
2019-10-08 05:00:00,Long,0.02859,0.02816,BCH/Z19,
2019-10-08 21:00:00,Long,3.411E-05,3.351E-05,XRP/Z19,
2019-10-09 00:00:00,Long,0.02232,0.02198,ETH/Z19,
2019-10-09 01:00:00,Long,0.00703,0.006955,LTC/Z19,
2019-10-09 01:00:00,Long,181,177.55,ETH/USD,
2019-10-09 03:00:00,Long,0.0003899,0.0003815,EOS/Z19,
2019-10-09 05:00:00,Long,8202,8111.5,BTC/USD,
2019-10-09 11:00:00,Short,0.02765,0.02863,BCH/Z19,
2019-10-10 17:00:00,Long,8588,8466,BTC/USD,
2019-10-10 22:00:00,Long,8583.5,8510,BTC/USD,
2019-10-10 22:00:00,Long,193.2,189.5,ETH/USD,
2019-10-10 23:00:00,Long,0.02257,0.02231,ETH/Z19,
2019-10-11 16:00:00,Short,0.00666,0.006745,LTC/Z19,
2019-10-12 13:00:00,Short,180.5,184.9,ETH/USD,
2019-10-12 23:00:00,Long,0.000371,0.000366,EOS/Z19,
2019-10-13 17:00:00,Short,181.6,185.15,ETH/USD,
2019-10-15 03:00:00,Short,8291.5,8420,BTC/USD,
2019-10-15 05:00:00,Long,3.547E-05,3.492E-05,XRP/Z19,
2019-10-15 07:00:00,Long,3.561E-05,3.492E-05,XRP/Z19,
2019-10-15 20:00:00,Long,3.568E-05,3.469E-05,XRP/Z19,
2019-10-16 14:00:00,Long,3.565E-05,3.49E-05,XRP/Z19,
2019-10-17 02:00:00,Long,3.57E-05,3.529E-05,XRP/Z19,
2019-10-17 21:00:00,Short,0.02171,0.02188,ETH/Z19,
2019-10-18 00:00:00,Short,173.9,177.55,ETH/USD,
2019-10-18 02:00:00,Short,0.0003628,0.0003668,EOS/Z19,
2019-10-18 16:00:00,Long,3.71E-05,3.669E-05,XRP/Z19,
2019-10-18 19:00:00,Short,0.02161,0.02181,ETH/Z19,
2019-10-19 08:00:00,Short,0.02661,0.02693,BCH/Z19,
2019-10-19 08:00:00,Short,0.02152,0.0218,ETH/Z19,
2019-10-19 11:00:00,Short,171.9,175.25,ETH/USD,
2019-10-19 18:00:00,Short,7939.5,8080,BTC/USD,
2019-10-19 19:00:00,Short,7960,8029.5,BTC/USD,
2019-10-20 12:00:00,Short,3.6E-05,3.672E-05,XRP/Z19,
2019-10-20 13:00:00,Long,0.006705,0.00662,LTC/Z19,
2019-10-20 13:00:00,Short,0.0003577,0.000363,EOS/Z19,
2019-10-20 14:00:00,Short,0.02136,0.02154,ETH/Z19,
2019-10-21 10:00:00,Short,0.02094,0.02133,ETH/Z19,
2019-10-22 00:00:00,Long,175.3,173.05,ETH/USD,
2019-10-22 03:00:00,Long,8266,8174,BTC/USD,
2019-10-22 19:00:00,Long,0.02825,0.02788,BCH/Z19,
2019-10-23 00:00:00,Long,0.02825,0.02788,BCH/Z19,
2019-10-25 07:00:00,Long,0.02169,0.02146,ETH/Z19,
2019-10-25 13:00:00,Long,0.00678,0.00658,LTC/Z19,
2019-10-29 02:00:00,Long,184.95,180.95,ETH/USD,
2019-10-29 06:00:00,Short,3.149E-05,3.217E-05,XRP/Z19,
2019-10-31 02:00:00,Long,3.246E-05,3.213E-05,XRP/Z19,
2019-10-31 04:00:00,Long,0.03161,0.03109,BCH/Z19,
2019-10-31 05:00:00,Long,0.00635,0.006265,LTC/Z19,
2019-10-31 15:00:00,Short,182.3,185.6,ETH/USD,
2019-10-31 21:00:00,Short,181.65,185.6,ETH/USD,
2019-11-01 09:00:00,Short,3.19E-05,3.245E-05,XRP/Z19,
2019-11-01 12:00:00,Short,0.01973,0.01994,ETH/Z19,
2019-11-02 12:00:00,Short,0.01959,0.01977,ETH/Z19,
2019-11-02 13:00:00,Short,3.149E-05,3.181E-05,XRP/Z19,
2019-11-02 20:00:00,Short,0.006235,0.006305,LTC/Z19,
2019-11-03 05:00:00,Short,3.161E-05,3.198E-05,XRP/Z19,
2019-11-03 17:00:00,Short,0.01962,0.01981,ETH/Z19,
2019-11-04 05:00:00,Short,0.0003541,0.000358,EOS/Z19,
2019-11-04 06:00:00,Short,0.0003546,0.000358,EOS/Z19,
2019-11-04 09:00:00,Long,0.03134,0.03109,BCH/Z19,
