average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[10, 21, 40]",0.7074,0.8135,0.3099,-0.0792,0.5051,0.8366,0.5155,3.0933,198,262,117,39,134,750
"[5, 34, 200]",0.6335,0.6952,-0.0845,0.3867,0.7127,0.7399,0.5139,3.0834,236,269,141,53,133,832
"[13, 25, 144]",0.3240,0.7195,0.1171,0.2876,0.4904,1.1323,0.5118,3.0709,220,273,147,48,133,821
"[15, 30, 60]",0.5296,0.6770,0.0167,0.1399,0.7626,0.9372,0.5105,3.0631,140,189,99,39,96,563
"[21, 30, 34]",0.6329,0.2683,0.2670,0.2694,0.6824,0.9389,0.5098,3.0590,99,172,86,18,87,462
"[5, 25, 34]",0.6854,1.0339,0.3987,-0.0099,0.2910,0.6598,0.5098,3.0589,174,246,120,41,117,698
"[10, 30, 55]",0.5517,0.7013,0.1659,0.2250,0.4906,0.9228,0.5095,3.0572,142,188,85,41,103,559
"[8, 15, 40]",0.4026,0.6017,0.2683,-0.1459,0.8183,1.1102,0.5092,3.0552,329,381,214,72,176,1172
"[8, 21, 50]",0.6553,0.9694,0.2092,-0.2159,0.6352,0.7997,0.5088,3.0529,221,292,135,50,137,835
"[10, 30, 60]",0.5426,0.7600,0.1156,0.2291,0.4906,0.9090,0.5078,3.0469,143,196,88,42,102,571
"[15, 25, 144]",0.3682,0.6507,0.0752,0.3158,0.7023,0.9248,0.5062,3.0370,211,279,142,47,129,808
"[5, 34, 233]",0.7477,0.6882,-0.1056,0.3657,0.6495,0.6867,0.5054,3.0322,236,266,146,52,132,832
"[10, 25, 144]",0.4914,0.7712,0.1751,0.1705,0.6522,0.7663,0.5044,3.0265,213,272,141,47,125,798
"[5, 30, 200]",0.7724,0.7389,-0.0598,0.3155,0.4966,0.7433,0.5011,3.0069,248,303,147,46,138,882
"[10, 25, 150]",0.4522,0.6386,0.2348,0.1706,0.7344,0.7699,0.5001,3.0005,214,272,142,46,125,799
"[13, 30, 55]",0.4435,0.3815,0.2187,0.1678,0.8416,0.9455,0.4997,2.9985,133,179,89,37,99,537
"[10, 25, 40]",0.3000,0.8695,0.3410,0.0592,0.6619,0.7603,0.4986,2.9919,141,202,110,33,101,587
"[10, 21, 50]",0.7344,0.8043,0.2698,-0.1174,0.5067,0.7908,0.4981,2.9886,221,288,133,43,140,825
"[13, 30, 50]",0.4629,0.3540,0.2065,0.1113,0.8869,0.9601,0.4970,2.9818,125,172,87,37,96,517
"[10, 25, 75]",0.5234,0.9628,0.2515,0.1296,0.4737,0.6254,0.4944,2.9665,178,254,130,43,116,721
"[13, 30, 60]",0.4194,0.4193,0.1374,0.2043,0.8416,0.9317,0.4923,2.9536,136,185,91,38,98,548
"[8, 30, 60]",0.7582,0.5166,0.1313,0.4209,0.2156,0.9048,0.4912,2.9474,163,204,93,42,112,614
"[13, 21, 34]",0.2085,0.4466,0.0313,0.0845,0.9180,1.2485,0.4896,2.9374,199,277,128,44,121,769
"[13, 25, 60]",0.2880,0.9649,0.3300,0.0649,0.2001,1.0851,0.4888,2.9330,176,252,123,46,118,715
"[10, 30, 100]",0.5008,0.6933,0.0355,0.3504,0.4349,0.9148,0.4883,2.9298,171,219,105,43,109,647
"[5, 34, 55]",0.5666,0.7617,-0.0194,0.3363,0.4659,0.8128,0.4873,2.9239,178,226,107,44,120,675
"[13, 25, 55]",0.2970,0.9397,0.3745,0.0625,0.2224,1.0272,0.4872,2.9233,172,250,122,45,116,705
"[5, 34, 100]",0.5372,1.0332,-0.0526,0.4335,0.2178,0.7530,0.4870,2.9222,202,257,128,49,123,759
"[8, 21, 34]",0.6525,0.9561,0.1046,-0.2658,0.6952,0.7747,0.4862,2.9173,178,240,114,35,120,687
"[5, 34, 50]",0.6171,0.6937,-0.0260,0.3337,0.5496,0.7388,0.4845,2.9069,172,219,103,45,118,657
"[8, 30, 55]",0.7681,0.4253,0.1913,0.3692,0.2119,0.9321,0.4830,2.8980,162,200,87,41,112,602
"[13, 30, 100]",0.4566,0.3931,0.0730,0.2577,0.7493,0.9670,0.4828,2.8967,158,212,108,37,106,621
"[15, 30, 100]",0.5929,0.6463,-0.0749,0.1521,0.6153,0.9548,0.4811,2.8865,166,207,117,40,104,634
"[15, 25, 60]",0.3471,0.8747,0.2485,0.0411,0.4866,0.8777,0.4793,2.8757,180,260,119,46,118,723
"[10, 30, 75]",0.5269,0.7210,0.0397,0.2498,0.4017,0.9293,0.4781,2.8683,161,206,93,42,106,608
"[5, 34, 150]",0.5318,0.8382,-0.0650,0.3875,0.3960,0.7769,0.4776,2.8654,227,267,134,51,127,806
"[13, 25, 50]",0.2061,0.9642,0.3521,0.0581,0.2714,0.9896,0.4736,2.8415,164,240,119,43,113,679
"[5, 34, 60]",0.5500,0.7858,-0.0369,0.3394,0.3771,0.8247,0.4733,2.8400,181,233,110,46,119,689
"[10, 30, 40]",0.6233,0.7112,0.1072,0.1294,0.4592,0.8028,0.4722,2.8331,116,156,71,32,94,469
"[21, 34, 233]",0.6813,0.1457,0.2843,0.3108,0.7835,0.6206,0.4710,2.8261,175,232,129,40,99,675
"[8, 30, 50]",0.7687,0.3115,0.1802,0.3820,0.1967,0.9855,0.4708,2.8246,155,191,84,40,108,578
"[15, 25, 55]",0.3347,0.7898,0.2922,0.0386,0.5250,0.8198,0.4667,2.8001,177,257,119,44,115,712
"[15, 25, 75]",0.4126,0.7458,0.2534,0.1762,0.4398,0.7701,0.4663,2.7980,188,267,127,49,120,751
"[10, 21, 34]",0.7143,0.8382,0.1531,-0.1830,0.5692,0.7012,0.4655,2.7931,180,237,111,30,120,678
"[5, 30, 60]",0.6355,0.9803,0.1120,0.2463,0.1784,0.6366,0.4649,2.7891,206,265,117,36,127,751
"[10, 30, 89]",0.5010,0.6337,0.0340,0.3029,0.3950,0.9164,0.4638,2.7829,170,213,102,42,107,634
"[5, 34, 144]",0.4647,0.8361,-0.1507,0.4003,0.4547,0.7765,0.4636,2.7815,225,265,133,50,126,799
"[15, 30, 89]",0.5865,0.5341,-0.0755,0.1382,0.6261,0.9546,0.4607,2.7639,164,202,112,40,102,620
"[8, 30, 75]",0.6561,0.5458,0.0535,0.4054,0.1419,0.9494,0.4587,2.7520,178,210,99,42,114,643
"[5, 30, 40]",0.7024,0.8267,0.1327,0.2251,0.2519,0.6070,0.4576,2.7458,172,223,100,32,116,643
"[13, 25, 75]",0.3616,0.8195,0.2735,0.1758,0.1598,0.9538,0.4573,2.7440,191,262,131,48,120,752
"[10, 25, 89]",0.5250,0.8740,0.2702,0.0964,0.3447,0.6143,0.4541,2.7247,189,260,128,44,115,736
"[21, 34, 75]",0.6365,0.2639,0.2166,0.1662,0.8421,0.5987,0.4540,2.7241,150,205,108,33,94,590
"[10, 25, 34]",0.1854,0.8142,0.3094,0.1317,0.5458,0.7284,0.4525,2.7149,122,175,95,28,89,509
"[8, 30, 100]",0.6258,0.5098,0.0161,0.4518,0.2000,0.9066,0.4517,2.7101,188,229,109,44,115,685
"[10, 25, 100]",0.4819,0.8660,0.2445,0.0933,0.3229,0.6980,0.4511,2.7067,200,269,135,43,116,763
"[13, 30, 89]",0.4502,0.2799,0.0723,0.2255,0.7106,0.9681,0.4511,2.7065,157,204,106,37,103,607
"[15, 25, 89]",0.4165,0.6718,0.1753,0.2195,0.4477,0.7704,0.4502,2.7012,193,271,126,49,119,758
"[15, 25, 100]",0.3724,0.6843,0.1424,0.2133,0.4379,0.8458,0.4493,2.6960,204,277,132,48,121,782
"[5, 34, 89]",0.5382,0.9754,-0.1270,0.3164,0.2739,0.7173,0.4491,2.6943,201,253,123,46,119,742
"[8, 15, 34]",0.1475,0.6387,0.1858,-0.1467,0.8820,0.9839,0.4485,2.6912,305,344,200,62,163,1074
"[13, 25, 89]",0.3632,0.7309,0.2153,0.2230,0.2345,0.9187,0.4476,2.6856,200,265,129,49,122,765
"[5, 30, 55]",0.6445,0.8801,0.1257,0.2112,0.1730,0.6457,0.4467,2.6803,202,258,114,36,124,734
"[15, 30, 75]",0.5258,0.5957,-0.0445,0.1102,0.5980,0.8932,0.4464,2.6785,157,197,106,38,99,597
"[21, 34, 200]",0.5735,0.0705,0.2850,0.3133,0.8008,0.6326,0.4460,2.6758,178,233,131,41,98,681
"[13, 25, 100]",0.3223,0.7215,0.1819,0.1850,0.2243,1.0371,0.4454,2.6722,210,269,136,48,123,786
"[13, 30, 75]",0.3913,0.3494,0.0794,0.1752,0.7054,0.9687,0.4449,2.6696,151,196,98,37,101,583
"[8, 30, 40]",0.7907,0.3948,0.1504,0.2638,0.1870,0.8664,0.4422,2.6530,135,163,76,36,100,510
"[5, 34, 75]",0.5197,0.9034,-0.0928,0.3479,0.2923,0.6763,0.4411,2.6468,195,235,116,45,117,708
"[21, 34, 150]",0.5696,0.1167,0.2437,0.2633,0.7995,0.6503,0.4405,2.6431,176,227,123,41,97,664
"[21, 34, 89]",0.6285,0.2953,0.1303,0.1878,0.8173,0.5803,0.4399,2.6395,162,214,114,36,95,621
"[5, 30, 50]",0.5878,0.8018,0.1261,0.2242,0.2017,0.6976,0.4398,2.6391,195,247,112,36,121,711
"[5, 30, 144]",0.6336,0.9275,-0.1002,0.2882,0.2649,0.6075,0.4369,2.6215,239,298,136,44,132,849
"[21, 34, 100]",0.6480,0.2876,0.1998,0.1938,0.7096,0.5821,0.4368,2.6209,163,219,119,37,94,632
"[5, 34, 40]",0.6023,0.5595,-0.0662,0.3170,0.5685,0.6274,0.4347,2.6084,159,194,99,41,107,600
"[5, 30, 100]",0.6093,1.0362,-0.0600,0.3283,0.2022,0.4910,0.4345,2.6069,229,285,130,37,130,811
"[8, 34, 200]",0.3578,0.6751,-0.2409,0.1520,0.7736,0.8818,0.4332,2.5994,214,232,135,36,112,729
"[8, 30, 89]",0.6249,0.4686,-0.0086,0.4152,0.1519,0.9115,0.4272,2.5635,188,220,106,43,113,670
"[5, 30, 150]",0.5930,0.8768,-0.0413,0.2696,0.2493,0.6107,0.4264,2.5582,244,302,137,43,132,858
"[21, 34, 144]",0.5711,0.1771,0.1832,0.2590,0.7151,0.6482,0.4256,2.5537,175,224,122,41,95,657
"[5, 30, 34]",0.7408,0.8476,0.0935,0.1041,0.2515,0.5075,0.4241,2.5449,159,204,90,31,106,590
"[13, 25, 40]",0.1614,0.7096,0.2938,0.0681,0.3043,0.9878,0.4208,2.5250,146,212,105,36,100,599
"[15, 25, 50]",0.2300,0.7070,0.2702,0.0372,0.4969,0.7834,0.4208,2.5248,171,251,116,43,108,689
"[8, 40, 150]",0.4497,0.4652,-0.1214,0.1994,0.4953,1.0310,0.4199,2.5192,164,215,105,37,104,625
"[5, 30, 75]",0.6296,1.0823,0.0088,0.1986,0.0666,0.5195,0.4175,2.5052,221,266,124,35,126,772
"[21, 34, 50]",0.4584,0.1410,0.2671,0.1705,0.8945,0.5664,0.4163,2.4979,128,183,92,27,81,511
"[21, 34, 60]",0.5118,0.1750,0.2381,0.2000,0.8393,0.5225,0.4144,2.4866,141,199,105,30,84,559
"[8, 34, 233]",0.4672,0.5300,-0.2204,0.1294,0.7226,0.8576,0.4144,2.4864,213,235,137,36,110,731
"[8, 34, 55]",0.3323,1.0364,-0.1869,0.1336,0.3644,0.7966,0.4127,2.4764,156,188,99,32,96,571
"[8, 34, 50]",0.3564,0.9017,-0.1929,0.1309,0.4369,0.8229,0.4093,2.4559,154,180,92,32,95,553
"[21, 34, 55]",0.5064,0.1642,0.2353,0.1667,0.8462,0.5312,0.4083,2.4500,136,191,98,27,83,535
"[13, 30, 40]",0.3576,0.3108,0.1028,0.1590,0.7784,0.7086,0.4029,2.4172,113,147,75,27,84,446
"[8, 40, 144]",0.4497,0.3662,-0.1777,0.2049,0.5061,1.0420,0.3985,2.3913,163,213,103,38,102,619
"[5, 30, 89]",0.5840,1.0515,-0.0317,0.1599,0.1371,0.4814,0.3970,2.3823,230,282,125,37,126,800
"[10, 30, 34]",0.6267,0.5696,0.0717,0.0720,0.4203,0.6202,0.3968,2.3805,107,132,63,28,80,410
"[15, 30, 40]",0.2835,0.5370,0.0188,0.1364,0.6748,0.7079,0.3931,2.3584,112,152,81,27,77,449
"[13, 25, 34]",0.1352,0.6379,0.2071,0.1337,0.1867,1.0532,0.3923,2.3538,129,187,90,32,89,527
"[8, 34, 150]",0.2312,0.8360,-0.2423,0.1305,0.4912,0.9042,0.3918,2.3507,209,223,125,34,107,698
"[8, 34, 144]",0.2766,0.8964,-0.3177,0.1372,0.4315,0.9042,0.3880,2.3281,205,222,126,34,105,692
"[8, 40, 200]",0.5733,0.0857,-0.0839,0.2589,0.4597,1.0019,0.3826,2.2956,176,217,108,40,104,645
"[8, 34, 100]",0.4184,1.0731,-0.3008,0.1529,0.0513,0.8783,0.3789,2.2732,188,213,120,36,100,657
"[15, 25, 40]",0.1949,0.5441,0.1974,0.0459,0.4407,0.8287,0.3753,2.2517,152,226,103,37,95,613
"[13, 34, 150]",0.1503,0.6307,-0.0980,0.2804,0.6169,0.6583,0.3731,2.2385,168,203,127,27,100,625
"[8, 34, 75]",0.4139,1.0874,-0.3077,0.0912,0.1346,0.8184,0.3730,2.2377,173,200,102,35,96,606
"[8, 40, 100]",0.5337,0.3705,-0.1628,0.1071,0.2990,1.0830,0.3717,2.2304,149,210,101,36,95,591
"[8, 30, 34]",0.8073,0.2624,0.0990,0.1844,0.2076,0.6597,0.3701,2.2203,124,139,66,31,87,447
"[8, 40, 233]",0.6177,0.0873,-0.0606,0.2414,0.4674,0.8635,0.3695,2.2169,179,218,110,39,103,649
"[10, 34, 50]",0.4161,0.6313,-0.2276,0.0410,0.5222,0.8329,0.3693,2.2158,129,174,93,31,85,512
"[8, 34, 40]",0.2653,0.8802,-0.2722,0.1236,0.4498,0.7591,0.3676,2.2059,136,161,87,29,83,496
"[10, 34, 55]",0.3972,0.7431,-0.2284,0.0433,0.4496,0.8003,0.3675,2.2051,133,182,99,32,86,532
"[10, 34, 150]",0.2357,0.6519,-0.3266,0.0928,0.6631,0.8754,0.3654,2.1923,181,212,126,34,98,651
"[10, 34, 200]",0.2515,0.4504,-0.3217,0.1147,0.8398,0.8544,0.3648,2.1890,188,225,130,37,100,680
"[10, 34, 233]",0.3784,0.3787,-0.3208,0.0920,0.8123,0.8285,0.3615,2.1693,188,227,130,38,100,683
"[8, 40, 89]",0.6117,0.3363,-0.0948,0.1528,0.1658,0.9931,0.3608,2.1648,149,201,94,33,93,570
"[10, 34, 100]",0.4315,0.8387,-0.3747,0.1040,0.2670,0.8872,0.3590,2.1537,161,202,119,35,93,610
"[13, 34, 200]",0.1300,0.4136,-0.0241,0.3002,0.7314,0.5975,0.3581,2.1487,175,207,134,29,101,646
"[13, 34, 233]",0.2590,0.3550,-0.0247,0.2775,0.7037,0.5779,0.3581,2.1484,174,213,132,30,101,650
"[8, 34, 60]",0.3105,1.0121,-0.2753,0.1027,0.1922,0.8050,0.3579,2.1472,163,196,102,34,93,588
"[8, 34, 89]",0.4004,1.0623,-0.3723,0.0881,0.1322,0.8362,0.3578,2.1469,184,210,116,35,97,642
"[10, 60, 150]",0.1967,0.3912,0.0559,0.1509,0.4801,0.8680,0.3571,2.1429,106,125,52,21,77,381
"[10, 60, 144]",0.1967,0.3912,0.0553,0.1529,0.4801,0.8644,0.3568,2.1406,106,125,52,21,77,381
"[13, 34, 144]",0.1517,0.7059,-0.1439,0.2258,0.5444,0.6562,0.3567,2.1402,165,201,126,27,97,616
"[5, 60, 150]",0.1989,0.3781,0.0130,0.1931,0.4224,0.9341,0.3566,2.1396,142,171,85,33,88,519
"[10, 34, 144]",0.2594,0.7261,-0.3737,0.0994,0.5509,0.8754,0.3563,2.1375,175,212,126,34,95,642
"[10, 40, 100]",0.5650,0.4183,-0.1127,0.1637,0.2776,0.7838,0.3493,2.0958,143,177,99,29,86,534
"[5, 60, 144]",0.1989,0.3193,0.0125,0.1892,0.4224,0.9360,0.3464,2.0783,142,171,85,33,87,518
"[21, 34, 40]",0.3733,-0.1136,0.2267,0.1760,0.8606,0.5397,0.3438,2.0627,115,152,87,20,70,444
"[13, 34, 75]",0.2549,0.6853,-0.1246,0.2339,0.3612,0.6398,0.3417,2.0504,139,174,104,28,88,533
"[10, 60, 233]",0.3514,0.2074,0.0506,0.1565,0.4199,0.8641,0.3417,2.0500,111,127,54,24,78,394
"[15, 34, 150]",0.2394,0.4020,-0.0609,0.2162,0.4646,0.7868,0.3414,2.0482,179,200,115,30,103,627
"[13, 34, 100]",0.2577,0.7200,-0.1238,0.2321,0.3072,0.6484,0.3403,2.0417,153,188,117,28,93,579
"[10, 40, 150]",0.4991,0.3018,-0.1322,0.1859,0.4493,0.7329,0.3395,2.0368,160,186,101,32,89,568
"[10, 60, 200]",0.2539,0.2462,0.0565,0.1434,0.4305,0.9042,0.3391,2.0348,113,127,54,23,77,394
"[5, 60, 233]",0.2436,0.3442,0.0257,0.1625,0.3531,0.9033,0.3387,2.0324,143,171,93,37,86,530
"[10, 55, 150]",0.0890,0.3945,0.0174,0.1580,0.5387,0.8193,0.3361,2.0169,116,155,60,25,75,431
"[10, 40, 144]",0.4991,0.3002,-0.1751,0.1933,0.4544,0.7438,0.3360,2.0159,158,184,101,32,88,563
"[10, 60, 100]",0.1425,0.4834,0.0318,0.1761,0.4021,0.7798,0.3360,2.0158,101,114,51,19,74,359
"[10, 34, 40]",0.3109,0.6024,-0.2397,0.0266,0.5304,0.7841,0.3358,2.0147,117,152,86,27,74,456
"[5, 60, 200]",0.2576,0.2807,0.0131,0.1579,0.3577,0.9465,0.3356,2.0135,145,172,89,35,86,527
"[5, 55, 233]",0.2668,0.2614,0.0133,0.2061,0.2913,0.9745,0.3356,2.0134,164,176,86,36,98,560
"[15, 34, 233]",0.3768,0.1801,0.0098,0.2296,0.5545,0.6623,0.3355,2.0131,187,211,120,31,106,655
"[10, 34, 75]",0.4189,0.8197,-0.3826,0.0097,0.3067,0.8381,0.3351,2.0104,148,192,104,33,87,564
"[15, 25, 34]",0.0702,0.4763,0.1125,0.1148,0.3516,0.8812,0.3344,2.0066,137,206,91,32,85,551
"[13, 34, 50]",0.2751,0.5132,0.0253,0.2403,0.3136,0.6376,0.3342,2.0052,122,154,93,24,81,474
"[10, 34, 60]",0.3607,0.7482,-0.3183,0.0124,0.3944,0.8076,0.3342,2.0050,138,186,101,33,84,542
"[15, 34, 200]",0.2478,0.2316,0.0104,0.2507,0.5716,0.6841,0.3327,1.9962,188,209,120,31,106,654
"[13, 60, 150]",0.2364,0.3869,-0.0611,0.0715,0.6225,0.7244,0.3301,1.9806,102,128,52,17,69,368
"[15, 30, 34]",0.3078,0.3886,0.0630,0.1525,0.5285,0.5373,0.3296,1.9777,100,123,72,23,65,383
"[10, 55, 144]",0.0890,0.3945,0.0183,0.1696,0.5387,0.7662,0.3294,1.9764,115,155,62,25,74,431
"[13, 34, 89]",0.2462,0.7009,-0.1896,0.2200,0.3710,0.6134,0.3270,1.9619,150,183,114,28,90,565
"[10, 55, 233]",0.0446,0.3259,0.0118,0.2014,0.4549,0.9058,0.3241,1.9444,120,160,62,27,76,445
"[8, 40, 75]",0.6210,0.3184,-0.1670,0.1183,0.1318,0.9134,0.3227,1.9359,147,195,88,35,87,552
"[10, 34, 89]",0.4100,0.7864,-0.4466,-0.0063,0.3392,0.8451,0.3213,1.9279,160,200,115,34,89,598
"[5, 55, 200]",0.1821,0.1931,0.0111,0.2057,0.3607,0.9745,0.3212,1.9271,164,179,84,36,96,559
"[13, 34, 55]",0.1802,0.5388,0.0376,0.2425,0.3272,0.6002,0.3211,1.9263,125,163,96,25,81,490
"[13, 34, 60]",0.1427,0.5803,-0.0320,0.2755,0.3306,0.6156,0.3188,1.9127,130,168,102,26,82,508
"[15, 34, 144]",0.2409,0.4611,-0.1067,0.1609,0.4080,0.7416,0.3176,1.9058,176,197,114,30,99,616
"[13, 30, 34]",0.3532,0.1683,0.1225,0.1232,0.6358,0.4984,0.3169,1.9015,102,121,65,24,70,382
"[5, 55, 150]",0.0417,0.2756,0.0111,0.1765,0.4565,0.9401,0.3169,1.9015,161,177,85,36,92,551
"[10, 55, 200]",0.0301,0.2580,0.0174,0.1977,0.4766,0.9066,0.3144,1.8864,118,160,59,28,74,439
"[15, 34, 75]",0.3392,0.4847,-0.0969,0.1521,0.2496,0.7509,0.3133,1.8796,152,173,96,29,91,541
"[5, 55, 144]",0.0417,0.2959,0.0120,0.1850,0.4572,0.8870,0.3131,1.8788,159,179,85,36,91,550
"[15, 34, 50]",0.2109,0.3682,0.0274,0.1469,0.2903,0.8343,0.3130,1.8781,130,151,79,23,82,465
"[13, 60, 144]",0.1918,0.4018,-0.0611,0.0696,0.5507,0.7244,0.3128,1.8771,101,128,52,17,67,365
"[10, 60, 75]",0.1227,0.5672,-0.0748,0.2078,0.2843,0.7690,0.3127,1.8762,96,112,43,18,71,340
"[8, 55, 150]",0.0526,0.2050,-0.1205,0.3859,0.6194,0.7263,0.3114,1.8686,140,171,69,28,77,485
"[8, 55, 144]",0.0526,0.2378,-0.1196,0.3969,0.6188,0.6731,0.3099,1.8596,137,173,70,28,76,484
"[10, 40, 233]",0.6067,0.0548,-0.0957,0.2299,0.4757,0.5880,0.3099,1.8594,172,190,114,33,88,597
"[5, 40, 100]",0.3489,0.4885,-0.1737,0.3317,0.1836,0.6794,0.3097,1.8584,207,255,108,41,111,722
"[10, 40, 55]",0.6001,0.3464,-0.0971,0.1454,0.0826,0.7781,0.3093,1.8556,124,152,75,25,77,453
"[13, 55, 150]",0.0905,0.3904,-0.1262,0.1525,0.4428,0.8921,0.3070,1.8421,110,126,59,23,72,390
"[10, 60, 89]",0.1429,0.4988,-0.0285,0.1907,0.2617,0.7731,0.3064,1.8387,100,112,45,19,71,347
"[8, 40, 55]",0.5369,0.1786,-0.1501,0.1389,0.1386,0.9876,0.3051,1.8305,140,186,81,36,84,527
"[10, 40, 200]",0.5080,0.0299,-0.1013,0.2456,0.4676,0.6805,0.3050,1.8302,170,189,110,34,88,591
"[15, 34, 60]",0.2193,0.4406,-0.0475,0.1812,0.3028,0.7273,0.3039,1.8237,140,168,90,25,85,508
"[5, 40, 144]",0.2851,0.3803,-0.2265,0.3584,0.3174,0.7079,0.3038,1.8227,224,258,112,43,115,752
"[13, 55, 233]",0.0532,0.3278,-0.1001,0.1603,0.3605,1.0159,0.3029,1.8175,113,135,63,27,74,412
"[5, 60, 100]",0.1260,0.2988,-0.0089,0.1780,0.3551,0.8629,0.3020,1.8120,142,163,81,31,85,502
"[8, 40, 60]",0.4864,0.2111,-0.1564,0.1407,0.1598,0.9682,0.3016,1.8099,146,192,84,36,85,543
"[13, 34, 40]",0.2215,0.4396,0.0169,0.2653,0.2858,0.5781,0.3012,1.8073,108,130,84,20,72,414
"[13, 60, 200]",0.2760,0.2595,-0.0604,0.0543,0.5024,0.7621,0.2990,1.7938,108,133,55,18,68,382
"[15, 34, 100]",0.3681,0.5150,-0.0995,0.1247,0.1819,0.7000,0.2984,1.7903,164,190,108,30,93,585
"[13, 55, 144]",0.0905,0.3904,-0.1253,0.1499,0.4428,0.8390,0.2979,1.7873,110,126,59,23,71,389
"[5, 40, 150]",0.2851,0.3819,-0.2275,0.3425,0.3066,0.6970,0.2976,1.7856,227,257,115,42,115,756
"[10, 40, 60]",0.5621,0.3313,-0.0922,0.1483,0.1128,0.7187,0.2968,1.7809,131,159,79,25,77,471
"[10, 40, 89]",0.5753,0.3835,-0.2091,0.1734,0.1246,0.7329,0.2968,1.7806,141,170,90,26,81,508
"[8, 60, 150]",0.1733,0.0615,0.0681,0.2012,0.4034,0.8725,0.2966,1.7799,120,149,73,25,70,437
"[8, 60, 144]",0.1733,0.0615,0.0676,0.1973,0.4034,0.8689,0.2953,1.7718,120,149,71,25,70,435
"[13, 60, 100]",0.1911,0.5032,-0.0812,0.1145,0.4581,0.5861,0.2953,1.7718,94,118,51,17,63,343
"[8, 40, 50]",0.5402,0.0802,-0.1884,0.1326,0.1698,1.0334,0.2946,1.7678,136,178,74,36,81,505
"[10, 55, 60]",-0.0683,0.4918,0.0091,0.1694,0.4075,0.7484,0.2930,1.7578,95,128,41,29,58,351
"[15, 34, 89]",0.3489,0.5233,-0.1652,0.1024,0.2449,0.6972,0.2919,1.7515,163,183,104,30,92,572
"[13, 55, 200]",0.0599,0.2387,-0.1025,0.1603,0.3787,1.0137,0.2915,1.7488,112,135,62,25,72,406
"[8, 55, 200]",0.0624,0.1163,-0.1205,0.4138,0.5278,0.7473,0.2912,1.7471,144,174,66,30,77,491
"[15, 34, 55]",0.2351,0.3985,-0.0058,0.1490,0.2506,0.7119,0.2899,1.7394,135,164,84,24,82,489
"[5, 55, 100]",0.0827,0.3788,-0.0374,0.1768,0.3015,0.8347,0.2895,1.7371,151,173,80,32,88,524
"[10, 40, 75]",0.6213,0.3567,-0.1669,0.1269,0.1215,0.6707,0.2884,1.7301,137,163,84,25,77,486
"[10, 40, 50]",0.5877,0.2669,-0.1341,0.1771,0.0148,0.8085,0.2868,1.7208,120,143,69,25,73,430
"[8, 55, 233]",0.0998,0.0302,-0.1183,0.4175,0.5066,0.7831,0.2865,1.7191,143,174,70,31,76,494
"[5, 55, 60]",0.0593,0.3707,-0.0362,0.0873,0.3142,0.9117,0.2845,1.7071,139,161,75,33,82,490
"[13, 60, 233]",0.2674,0.2224,-0.0572,0.0646,0.4842,0.7145,0.2827,1.6960,109,131,55,19,68,382
"[10, 55, 75]",0.0137,0.4354,-0.0464,0.2249,0.3396,0.6960,0.2772,1.6631,99,138,47,29,57,370
"[15, 60, 150]",0.3304,0.2131,0.0307,0.0207,0.5235,0.5428,0.2769,1.6612,94,115,42,20,62,333
"[5, 40, 89]",0.4311,0.4214,-0.1411,0.3657,0.0787,0.5054,0.2769,1.6612,207,250,102,38,106,703
"[5, 40, 200]",0.3693,-0.0089,-0.2127,0.4058,0.4320,0.6676,0.2755,1.6531,243,257,125,42,118,785
"[8, 60, 233]",0.1767,0.0144,0.0617,0.1545,0.3369,0.9077,0.2753,1.6519,122,151,75,28,69,445
"[21, 40, 55]",0.4780,0.2543,0.0517,0.2724,0.2656,0.3291,0.2752,1.6511,113,135,76,21,66,411
"[21, 40, 100]",0.4045,0.3034,0.0962,0.2167,0.2668,0.3585,0.2744,1.6461,142,159,88,28,76,493
"[10, 55, 100]",0.0519,0.4190,-0.0945,0.1509,0.3774,0.7316,0.2727,1.6364,108,143,52,29,61,393
"[10, 55, 89]",0.0272,0.4190,-0.0851,0.2258,0.2896,0.7396,0.2693,1.6161,106,141,48,29,59,383
"[5, 40, 75]",0.4050,0.3857,-0.1779,0.4103,0.1189,0.4724,0.2691,1.6144,197,241,99,41,100,678
"[21, 75, 233]",0.5072,0.1036,-0.0461,0.1434,0.4417,0.4471,0.2662,1.5969,65,85,36,26,45,257
"[8, 55, 60]",-0.0191,0.2854,-0.1768,0.3996,0.4031,0.6972,0.2649,1.5895,116,146,51,25,67,405
"[5, 40, 50]",0.3103,0.2814,-0.1805,0.3488,0.2919,0.5372,0.2649,1.5892,186,212,94,41,95,628
"[8, 60, 200]",0.1526,-0.0476,0.0676,0.1413,0.3470,0.9266,0.2646,1.5875,124,150,73,26,68,441
"[13, 60, 89]",0.1916,0.5188,-0.0793,0.0557,0.3162,0.5844,0.2646,1.5873,90,113,46,17,60,326
"[13, 60, 75]",0.1720,0.5799,-0.0975,0.0597,0.3073,0.5629,0.2641,1.5844,91,109,46,16,61,323
"[15, 55, 233]",0.2411,0.2907,-0.1837,0.1652,0.4686,0.6010,0.2638,1.5829,106,143,61,27,66,403
"[5, 55, 89]",0.0715,0.3828,-0.0745,0.1291,0.2143,0.8480,0.2619,1.5712,155,171,76,33,87,522
