average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC
"[2, 6, 20]",1.0061808968530228,1.377663275376366,0.07473338699862375,-0.49015375336864997,1.7882059974558322,2.3973901705813376
"[2, 6, 24]",1.0053028675161952,1.2698143457923483,0.13948979404538317,-0.36690881545711473,1.7465644079220186,2.4734544045063593
"[2, 6, 28]",1.118794690664283,1.2786549183235005,0.05493128479518136,-0.28262993320225405,2.0414637749636015,2.549247186720974
"[2, 6, 32]",1.2047276406754492,1.1806344445773131,0.19590075570793952,-0.1532636393988913,2.13641956953894,2.253559706417377
"[2, 6, 36]",1.3716286907527118,1.5240411278450972,0.33847871608873237,-0.27158014315448886,2.2590636708242147,2.2639695919307634
"[2, 6, 40]",1.485741216379218,1.8398976330317989,0.36942131622687513,-0.1923057204793307,2.185553143690626,2.34086992245041
"[2, 6, 44]",1.2424174495029074,1.8740913714493552,0.466922987954747,-0.22106420134617716,1.9909938872055883,2.3132901600888927
"[2, 6, 48]",1.3394105633479707,1.7864918582002478,0.5377580204955287,-0.1979062182512567,1.99802385217214,2.3079939461576595
"[2, 6, 52]",1.5329978426856035,1.6730908258585064,0.5396899902127374,-0.020601241762389894,1.8693758530704274,2.3382258931662463
"[2, 6, 56]",1.574333171077352,1.690566808946087,0.4999773079092726,-0.061143331518570765,1.8019566398465123,2.4496313685263984
"[2, 6, 60]",1.7171783818191668,1.73898145181659,0.4339259977275616,-0.10044259747108827,1.8148043126099642,2.459508445298802
"[2, 6, 64]",1.7404565059416686,1.8329964247831008,0.4782315473795101,-0.27557974033081745,1.7762884624457234,2.5156365589396352
"[2, 6, 68]",1.6969879946984796,1.787836949493221,0.5080974930597413,-0.365615135433039,1.7218113779991997,2.761052396266131
"[2, 6, 72]",1.675863653612049,1.8968772098847448,0.3552505898550989,-0.3445811301403013,1.6225843031473004,2.8149887516180323
"[2, 6, 76]",1.639890714520003,1.9509338837876578,0.3138999019866855,-0.30546304365508825,1.6881850152668947,2.957425416025668
"[2, 8, 20]",1.0284033393733203,0.7413960623020177,-0.08194522457418238,-0.1651245772469524,2.498493886913293,1.645379334712773
"[2, 8, 24]",1.0768911895352504,0.7349539760643466,-0.05324565114788726,0.016941975312631558,2.357297509401473,1.8988596829539024
"[2, 8, 28]",1.12234116605254,0.6745975599900794,0.03794688663618273,0.10655151647345508,2.4433285519769874,2.1230328026085505
"[2, 8, 32]",1.3732258507795918,0.8749600119695108,-0.12493041035580221,0.14544113739940445,2.560395575391248,2.1334795423816484
"[2, 8, 36]",1.5008719588871735,1.008336043741822,0.018458172813169693,0.10356100374134397,2.568005102482564,2.0926010892873204
"[2, 8, 40]",1.6861838974909942,1.0357618193568467,0.031538885953146356,-0.05009996962999591,2.375071692425042,2.2107799557731784
"[2, 8, 44]",1.671454116072131,1.0335885967891256,-0.009946235809672022,0.003023197796943211,2.1206462100986516,2.1757027293324334
"[2, 8, 48]",1.6190716781101508,0.9127259419999834,0.08432072634560747,-0.08093488574874308,2.1181679420548116,1.9995633880467119
"[2, 8, 52]",1.7690567789074567,0.9171927195135481,0.10377953106376203,-0.13755751898916435,2.0179388781119343,2.1030829287115873
"[2, 8, 56]",1.9333164504049538,1.0562123021839875,0.1798433977685963,-0.20154023939263027,1.9756109621957467,2.238700680466771
"[2, 8, 60]",2.0296652184902912,1.1787860057301303,0.1767477362957771,-0.19559644654526284,2.017402933306104,2.280470251348233
"[2, 8, 64]",2.0414614706445886,1.330366455150333,0.27734757994189674,-0.17459221578753892,2.027253156701487,2.3276489367751942
"[2, 8, 68]",2.2034881852752326,1.4902805760732463,0.2529816454836191,-0.15845645526736094,2.0838240674359563,2.5300247342874598
"[2, 8, 72]",2.1145150230153362,1.4019032573351096,0.1903382008366059,-0.15623382661026883,2.0239425223598673,2.4324110568069783
