date,open,high,low,close,volume
2018-11-16 02:00:00,301.0,350.0,280.0,297.57,12905.77055
2018-11-16 03:00:00,298.97,302.0,284.99,292.8,8956.6695
2018-11-16 04:00:00,292.8,299.87,287.14,293.0,6221.6716700000015
2018-11-16 05:00:00,293.6,325.0,293.15,309.32,16562.46232
2018-11-16 06:00:00,309.01,309.01,293.12,293.12,5048.96704
2018-11-16 07:00:00,293.11,299.73,292.77,296.0,2555.42387
2018-11-16 08:00:00,296.0,296.01,287.12,293.57,3385.55714
2018-11-16 09:00:00,293.6,294.86,287.11,291.31,2543.8937
2018-11-16 10:00:00,291.31,292.5,289.06,289.96,1458.7119300000004
2018-11-16 11:00:00,289.54,290.0,271.1,275.65,5200.66839
2018-11-16 12:00:00,275.68,278.42,262.49,271.08,3197.55195
2018-11-16 13:00:00,272.83,277.21,268.0,268.99,827.81958
2018-11-16 14:00:00,268.4,272.5,266.25,269.85,775.96329
2018-11-16 15:00:00,269.85,270.95,261.23,265.0,1093.59527
2018-11-16 16:00:00,264.08,265.0,253.44,255.09,2479.2361100000007
2018-11-16 17:00:00,255.06,264.33,250.1,262.0,2400.04909
2018-11-16 18:00:00,261.95,262.0,255.14,258.32,1522.96412
2018-11-16 19:00:00,258.29,265.63,257.54,263.99,2347.15909
2018-11-16 20:00:00,263.98,263.98,244.0,248.77,6989.32422
2018-11-16 21:00:00,249.75,250.0,230.73,234.85,5279.89863
2018-11-16 22:00:00,234.82,254.9,232.55,250.2,6101.09305
2018-11-16 23:00:00,250.2,256.0,238.18,238.62,4503.3186700000015
2018-11-17 00:00:00,238.18,246.47,237.2,240.97,2321.5967100000007
2018-11-17 01:00:00,240.97,257.34,240.43,253.79,2940.2195
2018-11-17 02:00:00,253.79,258.0,249.05,252.76,2909.60773
2018-11-17 03:00:00,252.0,266.56,251.11,262.22,4616.1415
2018-11-17 04:00:00,263.0,264.74,253.47,255.5,2369.8974
2018-11-17 05:00:00,255.13,259.0,251.06,254.25,1644.88479
2018-11-17 06:00:00,254.26,255.5,247.0,251.76,2027.85217
2018-11-17 07:00:00,251.7,255.68,247.8,254.85,2151.95112
2018-11-17 08:00:00,255.0,260.0,249.77,258.74,2055.23801
2018-11-17 09:00:00,259.43,262.0,255.16,257.57,1682.7456100000004
2018-11-17 10:00:00,257.04,265.0,256.49,265.0,2702.10808
2018-11-17 11:00:00,264.95,271.3,261.48,263.26,3006.98086
2018-11-17 12:00:00,263.26,265.06,258.86,259.65,1643.71911
2018-11-17 13:00:00,259.41,263.98,257.0,259.48,1208.00847
2018-11-17 14:00:00,259.48,262.0,258.0,259.0,739.4581900000002
2018-11-17 15:00:00,259.03,259.5,255.3,256.01,1067.20415
2018-11-17 16:00:00,255.89,256.86,253.08,255.0,590.9388299999998
2018-11-17 17:00:00,255.1,259.27,253.42,256.7,878.875
2018-11-17 18:00:00,256.49,262.58,255.96,262.08,1125.69745
2018-11-17 19:00:00,262.08,264.49,260.42,261.62,754.49374
2018-11-17 20:00:00,261.29,269.0,260.76,267.0,2124.9867
2018-11-17 21:00:00,266.99,269.0,262.0,262.39,2712.13142
2018-11-17 22:00:00,262.39,263.74,259.2,263.54,1734.2775399999996
2018-11-17 23:00:00,263.75,274.2,263.5,270.0,3733.56265
2018-11-18 00:00:00,270.0,273.61,268.11,270.68,1265.85916
2018-11-18 01:00:00,270.23,270.48,264.42,267.8,1184.38484
2018-11-18 02:00:00,267.35,277.0,267.21,270.89,6841.21895
2018-11-18 03:00:00,270.99,274.5,270.0,271.06,1111.84121
2018-11-18 04:00:00,271.92,272.87,266.0,266.0,2744.48731
2018-11-18 05:00:00,266.0,274.48,262.59,270.86,1867.64313
2018-11-18 06:00:00,270.42,278.99,269.48,275.24,4117.00034
2018-11-18 07:00:00,275.5,279.85,274.21,278.34,2786.80565
2018-11-18 08:00:00,278.34,289.18,275.13,287.08,6108.57165
2018-11-18 09:00:00,287.07,296.95,281.5,293.14,4293.07779
2018-11-18 10:00:00,293.0,298.8,289.8,296.39,4022.30373
2018-11-18 11:00:00,296.0,296.38,284.38,290.95,3359.93419
2018-11-18 12:00:00,291.94,297.81,288.91,297.18,1511.17311
2018-11-18 13:00:00,297.18,298.14,294.47,297.2,1799.96041
2018-11-18 14:00:00,296.67,296.86,286.71,288.13,2365.13232
2018-11-18 15:00:00,288.6,290.0,287.11,288.35,286.2044
2018-11-18 16:00:00,288.56,289.67,286.0,288.72,355.62358
2018-11-18 17:00:00,288.66,297.77,287.38,296.67,1516.5303
2018-11-18 18:00:00,297.18,297.99,288.01,288.1,1473.10499
2018-11-18 19:00:00,288.1,288.41,278.2,281.02,4016.73476
2018-11-18 20:00:00,280.63,280.88,266.12,269.13,5146.67936
2018-11-18 21:00:00,268.54,273.0,268.0,270.69,2068.80218
2018-11-18 22:00:00,270.8,278.88,269.21,273.17,2178.23176
2018-11-18 23:00:00,273.17,273.18,252.12,260.19,6579.35595
2018-11-19 00:00:00,260.19,260.19,252.74,256.13,3072.44055
2018-11-19 01:00:00,256.69,258.07,248.6,249.5,2864.15646
2018-11-19 02:00:00,249.5,249.5,226.46,237.7,7213.61814
2018-11-19 03:00:00,237.7,245.86,230.8,232.66,3204.35222
2018-11-19 04:00:00,232.66,246.49,232.66,244.01,3261.29762
2018-11-19 05:00:00,244.24,245.57,237.39,239.6,1814.66304
2018-11-19 06:00:00,239.01,248.37,238.57,241.29,2950.24569
2018-11-19 07:00:00,241.27,241.27,226.12,232.07,4935.7077100000015
2018-11-19 08:00:00,232.43,240.0,228.23,238.88,3498.9589
2018-11-19 09:00:00,238.3,239.46,232.61,235.2,2654.60376
2018-11-19 10:00:00,235.65,235.66,226.83,231.63,3480.2840200000005
2018-11-19 11:00:00,231.77,233.2,228.38,231.73,1509.55882
2018-11-19 12:00:00,231.64,234.99,228.0,228.75,1301.3148
2018-11-19 13:00:00,228.5,245.0,228.0,243.97,2118.27389
2018-11-19 14:00:00,244.73,246.59,234.0,234.98,2235.27791
2018-11-19 15:00:00,234.89,237.35,223.29,229.12,2983.1551
2018-11-19 16:00:00,229.3,236.75,227.0,232.42,1906.20615
2018-11-19 17:00:00,232.3,239.0,230.5,232.43,1642.07961
2018-11-19 18:00:00,231.41,235.87,230.35,232.9,1209.32012
2018-11-19 19:00:00,232.71,233.11,226.11,228.0,1605.75977
2018-11-19 20:00:00,228.0,235.55,227.32,234.2,1672.21577
2018-11-19 21:00:00,233.84,234.3,227.0,229.13,1743.39864
2018-11-19 22:00:00,228.6,232.03,219.0,219.63,2866.24244
2018-11-19 23:00:00,220.69,221.75,210.1,214.83,7188.2669799999985
2018-11-20 00:00:00,215.03,216.61,206.52,209.5,3952.07345
2018-11-20 01:00:00,209.5,214.95,208.2,212.43,3133.1161
2018-11-20 02:00:00,212.43,213.0,193.7,198.25,7375.1269200000015
2018-11-20 03:00:00,199.35,208.88,199.2,203.24,3629.7790000000014
2018-11-20 04:00:00,203.46,226.5,202.91,221.79,8397.63788
2018-11-20 05:00:00,221.82,236.0,215.2,224.02,6107.07239
2018-11-20 06:00:00,224.02,241.44,223.0,231.52,7342.73937
2018-11-20 07:00:00,231.52,236.3,228.0,231.09,3700.32613
2018-11-20 08:00:00,231.07,256.52,230.11,252.37,8100.889109999999
2018-11-20 09:00:00,252.37,255.99,245.0,255.95,6841.95093
2018-11-20 10:00:00,255.23,259.0,240.0,245.0,5638.82247
2018-11-20 11:00:00,245.42,246.95,231.1,236.66,5957.02602
2018-11-20 12:00:00,236.85,245.0,236.24,243.66,2293.58137
2018-11-20 13:00:00,243.66,246.45,236.9,239.24,1325.0964
2018-11-20 14:00:00,238.87,238.87,222.22,231.7,4328.7254600000015
2018-11-20 15:00:00,230.92,239.99,228.46,232.9,1958.40609
2018-11-20 16:00:00,232.25,233.0,217.96,220.99,2040.36136
2018-11-20 17:00:00,220.91,234.13,216.0,227.16,2041.69797
2018-11-20 18:00:00,227.22,234.0,221.96,225.11,2325.6234600000007
2018-11-20 19:00:00,224.8,227.59,216.94,226.28,1983.84003
2018-11-20 20:00:00,226.28,236.0,225.35,234.36,2717.7935
2018-11-20 21:00:00,234.31,238.18,227.99,235.81,2472.05398
2018-11-20 22:00:00,235.79,240.61,231.53,239.57,2602.29642
2018-11-20 23:00:00,239.45,239.78,230.0,230.16,1708.62032
2018-11-21 00:00:00,230.0,234.98,226.41,233.48,1968.51661
2018-11-21 01:00:00,233.48,237.0,231.84,237.0,2177.4054300000007
2018-11-21 02:00:00,237.3,248.55,236.06,244.5,4914.42727
2018-11-21 03:00:00,244.5,251.79,242.0,247.58,6474.70958
2018-11-21 04:00:00,247.0,247.68,239.0,242.72,3170.13399
2018-11-21 05:00:00,242.8,245.87,239.5,240.21,2123.82829
2018-11-21 06:00:00,240.0,244.99,239.56,243.11,1652.57395
2018-11-21 07:00:00,243.49,243.49,231.3,232.69,2514.25127
2018-11-21 08:00:00,232.44,236.09,226.33,228.42,4119.74184
2018-11-21 09:00:00,228.66,237.66,228.11,234.58,2669.47057
2018-11-21 10:00:00,234.68,235.27,231.29,234.39,1805.27055
2018-11-21 11:00:00,234.28,235.94,228.0,231.0,2702.27675
2018-11-21 12:00:00,231.48,235.6,230.0,231.01,1342.5812
2018-11-21 13:00:00,231.4,233.0,228.32,231.84,825.10987
2018-11-21 14:00:00,231.64,238.42,229.57,233.25,1446.76915
2018-11-21 15:00:00,233.38,236.29,229.2,233.24,1778.20867
2018-11-21 16:00:00,233.39,236.99,231.32,235.48,1338.23963
2018-11-21 17:00:00,235.84,239.32,234.37,237.66,1490.99104
2018-11-21 18:00:00,237.75,237.9,234.51,235.61,698.1619400000002
2018-11-21 19:00:00,235.61,241.35,235.0,240.7,925.67266
2018-11-21 20:00:00,240.7,241.16,237.15,238.0,701.6970200000002
2018-11-21 21:00:00,237.21,238.49,232.78,235.0,1542.41309
2018-11-21 22:00:00,235.0,236.62,233.0,233.33,691.44169
2018-11-21 23:00:00,233.32,236.37,232.03,235.78,903.12109
2018-11-22 00:00:00,235.77,236.55,232.5,232.69,690.58402
2018-11-22 01:00:00,233.0,234.22,231.3,232.27,902.58538
2018-11-22 02:00:00,232.0,233.99,230.0,230.34,1395.88779
2018-11-22 03:00:00,231.05,231.23,221.25,222.0,5118.83799
2018-11-22 04:00:00,222.03,225.44,221.43,225.0,2069.33063
2018-11-22 05:00:00,225.01,225.64,221.13,223.77,2589.32729
2018-11-22 06:00:00,223.77,225.05,219.72,220.53,2190.71058
2018-11-22 07:00:00,220.8,223.25,218.65,221.6,1493.76379
2018-11-22 08:00:00,221.16,227.72,220.6,221.5,1533.02109
2018-11-22 09:00:00,221.4,223.66,219.41,220.97,762.55218
2018-11-22 10:00:00,220.97,220.97,215.09,215.84,1789.3027
2018-11-22 11:00:00,216.1,222.49,216.08,220.63,2169.40709
2018-11-22 12:00:00,221.07,221.52,218.06,219.23,694.43791
2018-11-22 13:00:00,219.52,219.67,216.61,217.54,487.42466
2018-11-22 14:00:00,217.09,219.0,216.63,219.0,331.03545
2018-11-22 15:00:00,218.97,223.69,218.97,222.2,752.7579
2018-11-22 16:00:00,221.77,222.59,218.05,220.95,354.52271
2018-11-22 17:00:00,220.08,220.42,209.34,210.23,2807.73614
2018-11-22 18:00:00,209.98,214.76,209.56,210.12,1103.93264
2018-11-22 19:00:00,210.11,211.1,200.0,202.13,4729.5372
2018-11-22 20:00:00,202.14,204.17,199.19,202.17,2738.52859
2018-11-22 21:00:00,202.1,207.96,201.57,203.55,1831.15596
2018-11-22 22:00:00,203.8,205.6,200.25,202.47,2139.12019
2018-11-22 23:00:00,202.47,205.1,196.83,203.04,2110.39497
2018-11-23 00:00:00,202.73,204.13,200.0,204.0,1476.40688
2018-11-23 01:00:00,204.05,206.74,202.24,202.71,1880.07742
2018-11-23 02:00:00,202.31,206.65,202.23,206.62,822.58236
2018-11-23 03:00:00,206.66,210.0,205.11,205.37,2151.739060000001
2018-11-23 04:00:00,205.37,206.76,201.84,202.44,1703.5813899999996
2018-11-23 05:00:00,202.35,203.08,200.05,202.34,1748.3487300000004
2018-11-23 06:00:00,202.74,202.98,200.0,200.38,2389.97779
2018-11-23 07:00:00,201.07,211.5,200.15,210.01,4943.52823
2018-11-23 08:00:00,210.01,216.22,207.29,210.5,6447.14336
2018-11-23 09:00:00,210.5,213.98,207.5,209.97,1903.71085
2018-11-23 10:00:00,209.71,210.55,200.0,202.58,3312.08492
2018-11-23 11:00:00,202.69,212.0,201.03,209.82,2720.61751
2018-11-23 12:00:00,210.15,211.97,204.95,205.98,1377.28724
2018-11-23 13:00:00,205.99,208.92,204.52,206.16,913.98803
2018-11-23 14:00:00,206.09,206.09,202.25,203.5,1332.4181
2018-11-23 15:00:00,203.91,208.02,203.4,206.03,702.88486
2018-11-23 16:00:00,206.04,212.76,205.28,211.56,1237.91831
2018-11-23 17:00:00,211.76,212.98,210.06,210.2,933.69826
2018-11-23 18:00:00,210.47,218.2,210.22,216.56,2806.69379
2018-11-23 19:00:00,216.99,219.94,212.59,218.05,2416.9311
2018-11-23 20:00:00,218.05,219.56,212.66,213.78,1898.71192
2018-11-23 21:00:00,213.69,214.99,211.17,212.06,2062.59207
2018-11-23 22:00:00,212.33,213.0,210.01,211.42,471.27045
2018-11-23 23:00:00,211.14,211.38,208.54,208.67,1624.28361
2018-11-24 00:00:00,208.66,211.88,206.13,208.41,1020.41706
2018-11-24 01:00:00,208.03,208.4,204.68,205.67,939.03528
2018-11-24 02:00:00,205.68,209.6,205.29,209.54,432.05284000000006
2018-11-24 03:00:00,209.65,210.98,206.21,210.19,1679.5508100000004
2018-11-24 04:00:00,210.76,218.0,207.02,210.34,4905.40095
2018-11-24 05:00:00,210.43,213.85,208.0,210.82,2449.9672800000008
2018-11-24 06:00:00,210.57,212.5,207.24,209.2,2015.83502
2018-11-24 07:00:00,209.14,211.5,208.0,209.46,1003.36628
2018-11-24 08:00:00,209.63,210.89,208.0,210.15,624.88232
2018-11-24 09:00:00,210.29,211.5,206.39,209.9,2334.77306
